Tick,Quality,type,Task
9.3,4.196979812402427,Order347-6,Task 19982
11.3,9.802612028533938,Order347-5,Task 19981
14.0,7.997935493368848,Order347-6,Task 20002
14.3,1.5998684106432708,Order353-7,Task 19993
15.3,4.318196951546496,Order347-3,Task 19979
15.3,9.13311571056168,Order347-10,Task 19986
16.3,5.596023107838992,Order347-1,Task 19977
19.3,7.454188191663279,Order353-9,Task 19995
20.3,18.711029701051814,Order353-1,Task 19987
21.3,10.020890972023949,Order353-3,Task 19989
22.3,3.738559806421922,Order353-10,Task 19996
23.3,4.328093639332001,Order347-10,Task 20006
26.3,9.397560707563333,Order353-8,Task 19994
27.3,3.2619504474841783,Order346-5,Task 20021
28.3,6.001375474887787,Order347-1,Task 19997
28.3,-0.12404231533976828,Order353-2,Task 19988
28.3,10.545244515341158,Order347-5,Task 20001
30.3,18.993115000556422,Order347-3,Task 19999
32.3,1.2797375078709625,Order347-7,Task 20003
34.3,5.5269094641644605,Order347-4,Task 19980
34.3,4.430585850849598,Order347-4,Task 20000
37.3,0.7878323838724639,Order347-7,Task 19983
42.3,12.487778902993544,Order347-9,Task 20005
53.3,1.6291748202025076,Order347-8,Task 19984
63.3,4.597439861999567,Order347-8,Task 20004
66.3,12.053764314452042,Order354-1,Task 20007
72.3,2.5866540660557185,Order353-5,Task 19991
74.3,2.6602911710240384,Order354-10,Task 20016
78.3,3.5896505476922433,Order347-2,Task 19998
82.3,12.581864985137605,Order347-9,Task 19985
83.3,2.9131908475773463,Order347-2,Task 19978
84.3,19.660480127533482,Order346-3,Task 20019
88.3,11.169705305469815,Order354-9,Task 20015
89.3,1.1334081287346067,Order353-6,Task 19992
90.3,4.462300625766222,Order354-4,Task 20010
90.3,4.892339284723993,Order346-10,Task 20026
91.3,2.968861015723231,Order354-6,Task 20012
94.3,6.86271136202447,Order349-10,Task 20036
95.3,4.027377385598367,Order346-7,Task 20023
96.3,24.079169803664957,Order346-2,Task 20018
96.3,9.483237042762537,Order354-5,Task 20011
96.3,17.44734486063437,Order349-3,Task 20029
97.3,5.513354022402902,Order353-4,Task 19990
98.3,6.360417559493378,Order349-2,Task 20028
98.3,8.647097110163463,Order354-2,Task 20008
99.3,3.5748438152532276,Order346-9,Task 20025
99.3,10.209894430633504,Order346-8,Task 20024
99.3,7.361444038188384,Order354-8,Task 20014
101.3,5.130989702479366,Order354-1,Task 20046
102.3,14.717680856684344,Order349-4,Task 20030
102.3,7.63499094646866,Order346-1,Task 20017
104.3,3.439497844349021,Order346-6,Task 20022
104.3,20.846396848707048,Order349-1,Task 20027
104.3,4.16131747912654,Order354-3,Task 20009
105.3,2.7452326966305014,Order349-6,Task 20032
105.3,0.7618771504942763,Order346-4,Task 20020
105.3,11.279244280661366,Order354-7,Task 20013
105.3,3.463371002492777,Order349-8,Task 20034
106.3,10.032504547771596,Order349-9,Task 20035
108.3,16.764585173403425,Order352-3,Task 20039
109.3,7.040680800613224,Order349-7,Task 20033
112.3,2.717586118945098,Order349-5,Task 20031
112.3,2.1885492383884264,Order354-6,Task 20051
113.3,2.8913971440692636,Order354-4,Task 20049
117.3,2.848212340663885,Order354-9,Task 20054
119.3,1.601817237205035,Order352-7,Task 20043
120.3,3.201467967305732,Order352-2,Task 20038
124.3,12.033965698540761,Order354-5,Task 20050
125.3,9.967435779097721,Order352-5,Task 20041
126.3,12.45849542262996,Order352-6,Task 20042
126.3,15.192695432025225,Order354-7,Task 20052
127.3,2.909186222226662,Order352-8,Task 20044
127.3,3.7766599408615917,Order354-3,Task 20048
127.3,0.864758292528887,Order354-6,Task 20061
128.3,14.426738622189163,Order354-2,Task 20047
129.3,5.766045355452508,Order352-4,Task 20040
134.3,5.49013563683385,Order352-1,Task 20037
134.3,2.271242664000625,Order354-3,Task 20058
136.3,16.4078936941185,Order354-7,Task 20062
137.3,7.656051304959928,Order354-8,Task 20053
137.3,10.678709529436398,Order348-2,Task 20067
138.3,8.514707940943135,Order354-2,Task 20057
140.3,17.025391862526643,Order352-9,Task 20045
142.3,-0.5238619269707128,Order354-10,Task 20055
145.3,3.861695741627386,Order354-4,Task 20059
147.3,14.430190756979215,Order354-8,Task 20063
148.3,5.564957481907463,Order354-10,Task 20065
150.3,10.623623633532977,Order354-1,Task 20056
151.3,9.069551946973093,Order348-8,Task 20073
151.3,14.70804222328179,Order354-9,Task 20064
158.3,20.27471705484505,Order354-5,Task 20060
159.3,3.3900492470261923,Order348-4,Task 20069
164.3,13.33587526791284,Order348-9,Task 20074
164.3,4.3848819379928425,Order348-10,Task 20075
165.3,7.270444184589836,Order347-6,Task 20081
170.3,1.8166542741005958,Order347-5,Task 20080
171.3,4.850823575681561,Order348-6,Task 20071
171.3,21.739036858157718,Order348-7,Task 20072
172.3,7.78856301873029,Order348-1,Task 20066
173.3,20.003636129365784,Order347-4,Task 20079
173.3,8.625164508712166,Order348-3,Task 20068
181.3,11.87969300032583,Order347-10,Task 20085
182.3,3.3752954730127707,Order348-5,Task 20070
183.3,12.82375676139541,Order347-9,Task 20084
188.3,19.955656799731074,Order347-5,Task 20140
190.3,5.148266491719793,Order347-1,Task 20076
192.3,21.14583573703173,Order347-3,Task 20078
203.3,9.677282148013223,Order347-8,Task 20083
206.3,9.404889295170085,Order348-8,Task 20093
