Tick,Quality,type,Task
9.3,4.196979812402427,Order347-6,Task 14474
11.3,9.802612028533938,Order347-5,Task 14473
14.0,7.997935493368848,Order347-6,Task 14494
14.3,1.5998684106432708,Order353-7,Task 14485
15.3,4.318196951546496,Order347-3,Task 14471
15.3,9.13311571056168,Order347-10,Task 14478
16.3,5.596023107838992,Order347-1,Task 14469
19.3,7.454188191663279,Order353-9,Task 14487
20.3,18.711029701051814,Order353-1,Task 14479
21.3,10.020890972023949,Order353-3,Task 14481
22.3,3.738559806421922,Order353-10,Task 14488
23.3,4.328093639332001,Order347-10,Task 14498
26.3,9.397560707563333,Order353-8,Task 14486
27.3,3.2619504474841783,Order346-5,Task 14513
28.3,6.001375474887787,Order347-1,Task 14489
28.3,-0.12404231533976828,Order353-2,Task 14480
28.3,10.545244515341158,Order347-5,Task 14493
30.3,18.993115000556422,Order347-3,Task 14491
32.3,1.2797375078709625,Order347-7,Task 14495
34.3,5.5269094641644605,Order347-4,Task 14472
34.3,4.430585850849598,Order347-4,Task 14492
37.3,0.7878323838724639,Order347-7,Task 14475
42.3,12.487778902993544,Order347-9,Task 14497
53.3,1.6291748202025076,Order347-8,Task 14476
63.3,4.597439861999567,Order347-8,Task 14496
66.3,12.053764314452042,Order354-1,Task 14499
72.3,2.5866540660557185,Order353-5,Task 14483
74.3,2.6602911710240384,Order354-10,Task 14508
78.3,3.5896505476922433,Order347-2,Task 14490
82.3,12.581864985137605,Order347-9,Task 14477
83.3,2.9131908475773463,Order347-2,Task 14470
84.3,19.660480127533482,Order346-3,Task 14511
88.3,11.169705305469815,Order354-9,Task 14507
89.3,1.1334081287346067,Order353-6,Task 14484
90.3,4.462300625766222,Order354-4,Task 14502
90.3,4.892339284723993,Order346-10,Task 14518
91.3,2.968861015723231,Order354-6,Task 14504
94.3,6.86271136202447,Order349-10,Task 14528
95.3,4.027377385598367,Order346-7,Task 14515
96.3,24.079169803664957,Order346-2,Task 14510
96.3,9.483237042762537,Order354-5,Task 14503
96.3,17.44734486063437,Order349-3,Task 14521
97.3,5.513354022402902,Order353-4,Task 14482
98.3,6.360417559493378,Order349-2,Task 14520
98.3,8.647097110163463,Order354-2,Task 14500
99.3,3.5748438152532276,Order346-9,Task 14517
99.3,10.209894430633504,Order346-8,Task 14516
99.3,7.361444038188384,Order354-8,Task 14506
101.3,5.130989702479366,Order354-1,Task 14538
102.3,14.717680856684344,Order349-4,Task 14522
102.3,7.63499094646866,Order346-1,Task 14509
104.3,3.439497844349021,Order346-6,Task 14514
104.3,20.846396848707048,Order349-1,Task 14519
104.3,4.16131747912654,Order354-3,Task 14501
105.3,2.7452326966305014,Order349-6,Task 14524
105.3,0.7618771504942763,Order346-4,Task 14512
105.3,11.279244280661366,Order354-7,Task 14505
105.3,3.463371002492777,Order349-8,Task 14526
106.3,10.032504547771596,Order349-9,Task 14527
108.3,16.764585173403425,Order352-3,Task 14531
109.3,7.040680800613224,Order349-7,Task 14525
112.3,2.717586118945098,Order349-5,Task 14523
112.3,2.1885492383884264,Order354-6,Task 14543
113.3,2.8913971440692636,Order354-4,Task 14541
117.3,2.848212340663885,Order354-9,Task 14546
119.3,1.601817237205035,Order352-7,Task 14535
120.3,3.201467967305732,Order352-2,Task 14530
124.3,12.033965698540761,Order354-5,Task 14542
125.3,9.967435779097721,Order352-5,Task 14533
126.3,12.45849542262996,Order352-6,Task 14534
126.3,15.192695432025225,Order354-7,Task 14544
127.3,2.909186222226662,Order352-8,Task 14536
127.3,3.7766599408615917,Order354-3,Task 14540
127.3,0.864758292528887,Order354-6,Task 14553
128.3,14.426738622189163,Order354-2,Task 14539
129.3,5.766045355452508,Order352-4,Task 14532
134.3,5.49013563683385,Order352-1,Task 14529
134.3,2.271242664000625,Order354-3,Task 14550
136.3,16.4078936941185,Order354-7,Task 14554
137.3,7.656051304959928,Order354-8,Task 14545
137.3,10.678709529436398,Order348-2,Task 14559
138.3,8.514707940943135,Order354-2,Task 14549
140.3,17.025391862526643,Order352-9,Task 14537
142.3,-0.5238619269707128,Order354-10,Task 14547
145.3,3.861695741627386,Order354-4,Task 14551
147.3,14.430190756979215,Order354-8,Task 14555
148.3,5.564957481907463,Order354-10,Task 14557
150.3,10.623623633532977,Order354-1,Task 14548
151.3,9.069551946973093,Order348-8,Task 14565
151.3,14.70804222328179,Order354-9,Task 14556
158.3,20.27471705484505,Order354-5,Task 14552
159.3,3.3900492470261923,Order348-4,Task 14561
164.3,13.33587526791284,Order348-9,Task 14566
164.3,4.3848819379928425,Order348-10,Task 14567
165.3,7.270444184589836,Order347-6,Task 14573
170.3,1.8166542741005958,Order347-5,Task 14572
171.3,4.850823575681561,Order348-6,Task 14563
171.3,21.739036858157718,Order348-7,Task 14564
172.3,7.78856301873029,Order348-1,Task 14558
173.3,20.003636129365784,Order347-4,Task 14571
173.3,8.625164508712166,Order348-3,Task 14560
181.3,11.87969300032583,Order347-10,Task 14577
182.3,3.3752954730127707,Order348-5,Task 14562
183.3,12.82375676139541,Order347-9,Task 14576
188.3,19.955656799731074,Order347-5,Task 14632
190.3,5.148266491719793,Order347-1,Task 14568
192.3,21.14583573703173,Order347-3,Task 14570
203.3,9.677282148013223,Order347-8,Task 14575
206.3,9.404889295170085,Order348-8,Task 14585
210.3,7.826929739074265,Order347-7,Task 14574
214.3,8.826629563669087,Order348-1,Task 14578
216.3,2.905940913294354,Order347-2,Task 14569
224.3,15.344056143387906,Order348-7,Task 14584
227.3,8.693277084308257,Order348-4,Task 14581
233.3,8.808743009083281,Order348-3,Task 14580
234.3,8.092023277883207,Order348-5,Task 14582
238.3,9.891761903079512,Order348-10,Task 14587
238.3,8.6926317586804,Order348-2,Task 14579
239.3,19.939900593835084,Order348-9,Task 14586
239.3,0.5510339842713194,Order354-10,Task 14597
239.3,8.504699639900505,Order354-2,Task 14589
240.3,8.627802637783907,Order351-8,Task 14615
242.3,4.763436092491929,Order351-1,Task 14608
245.3,10.87957442162278,Order354-3,Task 14590
245.3,8.094453305009656,Order353-10,Task 14607
245.3,16.186882050753475,Order354-5,Task 14592
246.3,16.3995273018846,Order348-6,Task 14583
250.3,21.876151677499955,Order354-9,Task 14596
251.3,25.508989576677937,Order351-10,Task 14617
252.3,7.471957685140587,Order354-6,Task 14593
253.3,14.505719582264696,Order354-1,Task 14588
258.3,2.3882370014128793,Order354-4,Task 14591
260.3,19.172940516728303,Order354-8,Task 14595
262.3,9.608492520077707,Order351-7,Task 14614
262.3,-0.16153493858904433,Order353-5,Task 14602
263.3,6.274134503634015,Order351-4,Task 14611
263.3,20.038355989172775,Order353-7,Task 14604
266.3,21.430015010232047,Order354-7,Task 14594
266.3,2.4462158351598844,Order351-2,Task 14609
267.3,-0.32938709569951996,Order353-1,Task 14598
268.3,17.631881898055852,Order351-3,Task 14610
272.3,4.977311322639146,Order351-9,Task 14616
275.3,2.6892470960195265,Order351-5,Task 14612
279.3,21.461712815982345,Order353-8,Task 14605
279.3,9.822184680103007,Order353-3,Task 14600
280.3,9.764313397567992,Order351-6,Task 14613
282.3,8.409443987338571,Order349-3,Task 14620
283.3,28.517331621826667,Order353-9,Task 14606
286.3,7.405882016890984,Order353-6,Task 14603
288.3,3.721193449386875,Order353-4,Task 14601
289.3,8.736687583417043,Order353-2,Task 14599
289.3,17.726436505361214,Order349-2,Task 14619
290.3,3.6258605766460086,Order349-10,Task 14627
291.3,8.409325928482485,Order349-4,Task 14621
297.3,20.858653042240277,Order349-1,Task 14618
297.3,1.0625170038108331,Order349-5,Task 14622
297.3,22.554597285362323,Order347-7,Task 14634
298.3,2.0169674246794886,Order347-1,Task 14628
301.3,1.88692379833706,Order349-8,Task 14625
304.3,7.095311753639583,Order349-9,Task 14626
305.3,3.999749632939329,Order349-6,Task 14623
306.3,3.5299338594359715,Order346-7,Task 14644
307.3,7.886887955298719,Order347-6,Task 14633
307.3,22.08173126891535,Order347-4,Task 14631
307.3,2.4631785501955408,Order349-7,Task 14624
311.3,20.012646960791756,Order347-2,Task 14629
316.3,15.250747248646789,Order347-8,Task 14635
320.3,14.136693569991348,Order346-1,Task 14638
322.3,24.962184163103405,Order347-3,Task 14630
324.3,14.090164383780166,Order346-2,Task 14639
324.3,13.747623003910459,Order347-10,Task 14637
326.3,13.567308191978556,Order347-9,Task 14636
327.3,6.0744464503061275,Order346-9,Task 14646
329.3,16.306853808670798,Order346-6,Task 14643
331.3,20.515237719113937,Order346-5,Task 14642
332.3,21.700970015760735,Order348-9,Task 14666
334.3,1.284648233690294,Order346-4,Task 14641
334.3,14.025884782235202,Order346-3,Task 14640
335.3,14.357472421135629,Order348-6,Task 14663
338.3,18.969250736210498,Order349-1,Task 14648
338.3,10.471901701174584,Order346-8,Task 14645
340.3,4.366519300684201,Order346-10,Task 14647
341.3,18.742617036956297,Order348-8,Task 14665
342.3,20.998237356588568,Order348-7,Task 14664
347.3,6.445829312110387,Order349-7,Task 14654
351.3,0.39370849883312786,Order348-4,Task 14661
351.3,4.784674547609806,Order349-8,Task 14655
357.3,9.37892460190425,Order348-10,Task 14667
358.3,12.99117389075764,Order349-3,Task 14650
360.3,8.867432193387831,Order348-1,Task 14658
364.3,12.100242909315394,Order349-5,Task 14652
364.3,0.990214527789945,Order349-10,Task 14657
367.3,12.850071629649305,Order348-2,Task 14659
367.3,6.421167776003012,Order349-9,Task 14656
370.3,18.197398327214103,Order349-4,Task 14651
371.3,8.301786025105532,Order349-6,Task 14653
375.3,12.122063216196485,Order353-10,Task 14677
375.3,14.518281651004889,Order349-2,Task 14649
376.3,23.80024183034593,Order353-9,Task 14676
377.3,12.726583039083579,Order348-5,Task 14662
381.3,22.3350216471222,Order348-3,Task 14660
381.3,8.871248695702864,Order353-3,Task 14670
383.3,18.936968130688545,Order353-8,Task 14675
386.3,6.781088851905022,Order353-5,Task 14672
387.3,3.5540170470457646,Order345-7,Task 14694
390.3,4.051898511091961,Order345-5,Task 14692
393.3,9.512933170214657,Order353-2,Task 14669
394.3,7.093959971266209,Order345-10,Task 14697
395.3,-1.4236787621039357,Order353-4,Task 14671
397.3,21.96263025560608,Order353-7,Task 14674
398.3,16.06064029034973,Order345-8,Task 14695
399.3,3.7637168960246408,Order347-4,Task 14681
399.3,5.346069796230804,Order347-6,Task 14683
400.3,13.558438523030167,Order353-1,Task 14668
401.3,13.6722203035788,Order345-9,Task 14696
403.3,19.039152085537673,Order353-6,Task 14673
403.3,2.1323990339027636,Order351-1,Task 14737
406.3,6.617711203691371,Order347-9,Task 14686
407.3,2.976021265917693,Order347-2,Task 14679
409.3,2.672095138708948,Order345-3,Task 14690
411.3,1.090569747471235,Order345-1,Task 14688
413.3,12.345263430965186,Order347-10,Task 14687
414.3,15.914521266001866,Order347-5,Task 14682
416.3,2.509720127534019,Order345-4,Task 14691
418.3,10.541584815026255,Order347-3,Task 14680
419.3,12.195710940312152,Order345-2,Task 14689
422.3,12.350468193462627,Order345-6,Task 14693
424.3,16.747080108532728,Order347-7,Task 14684
430.3,19.74249216938499,Order352-9,Task 14706
430.3,3.291545398925753,Order347-1,Task 14678
432.3,11.114177901607134,Order347-8,Task 14685
434.3,5.078893799037635,Order352-6,Task 14703
439.3,8.739966960770465,Order352-5,Task 14702
441.3,11.04855298812546,Order352-7,Task 14704
442.3,4.2596622849291155,Order352-8,Task 14705
444.3,20.744727328466542,Order352-4,Task 14701
446.3,8.276356012332636,Order352-3,Task 14700
447.3,4.642689002175563,Order347-6,Task 14712
447.3,16.254830834286494,Order347-5,Task 14711
448.3,7.267156126528544,Order353-3,Task 14719
449.3,13.642781035280239,Order352-2,Task 14699
449.3,5.377268321486076,Order352-1,Task 14698
452.3,15.572238528044252,Order347-10,Task 14716
452.3,18.90158230479471,Order347-3,Task 14709
452.3,16.932677130442706,Order347-7,Task 14713
453.3,8.027409697021811,Order347-4,Task 14710
454.3,3.72763988172522,Order347-2,Task 14708
460.3,2.4714272672324156,Order347-1,Task 14707
461.3,11.394350816658704,Order347-9,Task 14715
462.3,4.029060303170393,Order347-8,Task 14714
466.3,15.48852131269321,Order353-1,Task 14855
467.3,10.12919829170572,Order353-1,Task 14717
468.3,10.186004209666933,Order353-10,Task 14726
469.3,18.097038894021132,Order353-8,Task 14724
470.3,14.96072112720083,Order353-6,Task 14722
471.3,4.051784774060537,Order353-5,Task 14721
473.3,21.163386493523063,Order348-8,Task 14734
477.3,11.646833452598786,Order353-2,Task 14718
479.3,3.1965307025218266,Order353-4,Task 14720
479.3,11.611812340845226,Order348-1,Task 14727
479.3,0.9685325727529155,Order348-5,Task 14731
482.3,22.63504149981643,Order353-7,Task 14723
482.3,18.44686545255755,Order353-9,Task 14725
487.3,4.4540217946838405,Order348-10,Task 14736
489.3,16.698803856984057,Order348-7,Task 14733
489.3,12.418837159911472,Order348-6,Task 14732
492.3,22.531433528237013,Order351-10,Task 14746
494.3,14.6881714592962,Order348-9,Task 14735
495.3,21.31764997671537,Order351-4,Task 14740
497.3,3.725672422015515,Order348-4,Task 14730
498.3,4.064854774992822,Order348-3,Task 14729
500.3,18.613741943753276,Order354-1,Task 14747
507.3,12.055552685822745,Order348-2,Task 14728
508.3,-0.1318779103205634,Order351-7,Task 14743
509.3,-0.9872599009752665,Order351-8,Task 14744
515.3,23.02635248545541,Order351-6,Task 14742
517.3,1.971192401396487,Order351-5,Task 14741
517.3,4.727127093799804,Order354-4,Task 14750
517.3,1.0509914582365094,Order351-9,Task 14745
518.3,2.7033499146961475,Order354-2,Task 14748
518.3,3.621707025161599,Order354-10,Task 14756
519.3,-5.052189232402807,Order351-3,Task 14739
520.3,3.7291312822433857,Order351-2,Task 14738
523.3,16.038768620489588,Order354-5,Task 14751
524.3,5.299049538566721,Order354-6,Task 14752
524.3,8.030757859003707,Order354-3,Task 14749
525.3,23.021859250745393,Order354-7,Task 14753
529.3,18.873871696116744,Order354-8,Task 14754
530.3,22.365422390897592,Order351-10,Task 14766
530.3,6.922102356080136,Order351-4,Task 14760
530.3,24.75222607955558,Order354-9,Task 14755
534.3,1.5168441211430252,Order351-5,Task 14761
535.3,2.642128035937306,Order351-3,Task 14759
536.3,2.946176746973998,Order351-8,Task 14764
537.3,20.539022602780268,Order350-9,Task 14775
537.3,9.870328306872349,Order351-1,Task 14757
538.3,1.275874973056962,Order351-9,Task 14765
542.3,8.283112610416087,Order351-2,Task 14758
543.3,17.33097650206633,Order351-6,Task 14762
548.3,5.88540755729059,Order350-4,Task 14770
548.3,7.211481323499625,Order351-7,Task 14763
