Tick,Quality,type,Task
9.3,4.196979812402427,Order347-6,Task 25384
11.3,9.802612028533938,Order347-5,Task 25383
14.0,7.997935493368848,Order347-6,Task 25404
14.3,1.5998684106432708,Order353-7,Task 25395
15.3,4.318196951546496,Order347-3,Task 25381
15.3,9.13311571056168,Order347-10,Task 25388
16.3,5.596023107838992,Order347-1,Task 25379
19.3,7.454188191663279,Order353-9,Task 25397
20.3,18.711029701051814,Order353-1,Task 25389
21.3,10.020890972023949,Order353-3,Task 25391
22.3,3.738559806421922,Order353-10,Task 25398
23.3,4.328093639332001,Order347-10,Task 25408
26.3,9.397560707563333,Order353-8,Task 25396
27.3,3.2619504474841783,Order346-5,Task 25423
28.3,6.001375474887787,Order347-1,Task 25399
28.3,-0.12404231533976828,Order353-2,Task 25390
28.3,10.545244515341158,Order347-5,Task 25403
30.3,18.993115000556422,Order347-3,Task 25401
32.3,1.2797375078709625,Order347-7,Task 25405
34.3,5.5269094641644605,Order347-4,Task 25382
34.3,4.430585850849598,Order347-4,Task 25402
37.3,0.7878323838724639,Order347-7,Task 25385
42.3,12.487778902993544,Order347-9,Task 25407
53.3,1.6291748202025076,Order347-8,Task 25386
63.3,4.597439861999567,Order347-8,Task 25406
66.3,12.053764314452042,Order354-1,Task 25409
72.3,2.5866540660557185,Order353-5,Task 25393
74.3,2.6602911710240384,Order354-10,Task 25418
78.3,3.5896505476922433,Order347-2,Task 25400
82.3,12.581864985137605,Order347-9,Task 25387
83.3,2.9131908475773463,Order347-2,Task 25380
84.3,19.660480127533482,Order346-3,Task 25421
88.3,11.169705305469815,Order354-9,Task 25417
89.3,1.1334081287346067,Order353-6,Task 25394
90.3,4.462300625766222,Order354-4,Task 25412
90.3,4.892339284723993,Order346-10,Task 25428
91.3,2.968861015723231,Order354-6,Task 25414
94.3,6.86271136202447,Order349-10,Task 25438
95.3,4.027377385598367,Order346-7,Task 25425
96.3,24.079169803664957,Order346-2,Task 25420
96.3,9.483237042762537,Order354-5,Task 25413
96.3,17.44734486063437,Order349-3,Task 25431
97.3,5.513354022402902,Order353-4,Task 25392
98.3,6.360417559493378,Order349-2,Task 25430
98.3,8.647097110163463,Order354-2,Task 25410
99.3,3.5748438152532276,Order346-9,Task 25427
99.3,10.209894430633504,Order346-8,Task 25426
99.3,7.361444038188384,Order354-8,Task 25416
101.3,5.130989702479366,Order354-1,Task 25448
102.3,14.717680856684344,Order349-4,Task 25432
102.3,7.63499094646866,Order346-1,Task 25419
104.3,3.439497844349021,Order346-6,Task 25424
104.3,20.846396848707048,Order349-1,Task 25429
104.3,4.16131747912654,Order354-3,Task 25411
105.3,2.7452326966305014,Order349-6,Task 25434
105.3,0.7618771504942763,Order346-4,Task 25422
105.3,11.279244280661366,Order354-7,Task 25415
105.3,3.463371002492777,Order349-8,Task 25436
106.3,10.032504547771596,Order349-9,Task 25437
108.3,16.764585173403425,Order352-3,Task 25441
109.3,7.040680800613224,Order349-7,Task 25435
112.3,2.717586118945098,Order349-5,Task 25433
112.3,2.1885492383884264,Order354-6,Task 25453
113.3,2.8913971440692636,Order354-4,Task 25451
117.3,2.848212340663885,Order354-9,Task 25456
119.3,1.601817237205035,Order352-7,Task 25445
120.3,3.201467967305732,Order352-2,Task 25440
124.3,12.033965698540761,Order354-5,Task 25452
125.3,9.967435779097721,Order352-5,Task 25443
126.3,12.45849542262996,Order352-6,Task 25444
126.3,15.192695432025225,Order354-7,Task 25454
127.3,2.909186222226662,Order352-8,Task 25446
127.3,3.7766599408615917,Order354-3,Task 25450
127.3,0.864758292528887,Order354-6,Task 25463
128.3,14.426738622189163,Order354-2,Task 25449
129.3,5.766045355452508,Order352-4,Task 25442
134.3,5.49013563683385,Order352-1,Task 25439
134.3,2.271242664000625,Order354-3,Task 25460
136.3,16.4078936941185,Order354-7,Task 25464
137.3,7.656051304959928,Order354-8,Task 25455
137.3,10.678709529436398,Order348-2,Task 25469
138.3,8.514707940943135,Order354-2,Task 25459
140.3,17.025391862526643,Order352-9,Task 25447
142.3,-0.5238619269707128,Order354-10,Task 25457
145.3,3.861695741627386,Order354-4,Task 25461
147.3,14.430190756979215,Order354-8,Task 25465
148.3,5.564957481907463,Order354-10,Task 25467
150.3,10.623623633532977,Order354-1,Task 25458
151.3,9.069551946973093,Order348-8,Task 25475
151.3,14.70804222328179,Order354-9,Task 25466
158.3,20.27471705484505,Order354-5,Task 25462
159.3,3.3900492470261923,Order348-4,Task 25471
164.3,13.33587526791284,Order348-9,Task 25476
164.3,4.3848819379928425,Order348-10,Task 25477
165.3,7.270444184589836,Order347-6,Task 25483
170.3,1.8166542741005958,Order347-5,Task 25482
171.3,4.850823575681561,Order348-6,Task 25473
171.3,21.739036858157718,Order348-7,Task 25474
172.3,7.78856301873029,Order348-1,Task 25468
173.3,20.003636129365784,Order347-4,Task 25481
173.3,8.625164508712166,Order348-3,Task 25470
