"tick","Resource","Service"
399.0,351,0
400.0,350,0
401.0,351,0
402.0,351,0
403.0,353,0
404.0,353,0
405.0,354,0
406.0,357,0
407.0,358,0
408.0,359,0
409.0,360,0
410.0,362,0
411.0,364,0
412.0,365,0
413.0,367,0
414.0,367,0
415.0,368,0
416.0,369,0
417.0,369,0
418.0,372,0
419.0,369,0
420.0,373,0
421.0,371,0
422.0,373,0
423.0,373,0
424.0,371,0
425.0,374,0
426.0,372,0
427.0,371,0
428.0,371,0
429.0,371,0
430.0,372,0
431.0,370,0
432.0,373,0
433.0,371,0
434.0,371,0
435.0,373,0
436.0,373,0
437.0,370,0
438.0,371,0
439.0,372,0
440.0,370,0
441.0,370,0
442.0,370,0
443.0,373,0
444.0,373,0
445.0,375,0
446.0,375,0
447.0,377,0
448.0,378,0
449.0,381,0
450.0,380,0
451.0,381,0
452.0,384,0
453.0,381,0
454.0,381,0
455.0,381,0
456.0,381,0
457.0,381,0
458.0,381,0
459.0,381,0
460.0,385,0
461.0,382,0
462.0,382,0
463.0,381,0
464.0,383,0
465.0,383,0
466.0,384,0
467.0,385,0
468.0,388,0
469.0,392,0
470.0,393,0
471.0,393,0
472.0,393,1
473.0,393,1
474.0,395,2
475.0,397,2
476.0,397,2
477.0,396,2
478.0,396,2
479.0,395,2
480.0,396,2
481.0,395,2
482.0,398,2
483.0,396,2
484.0,395,2
485.0,394,2
486.0,394,2
487.0,397,2
488.0,393,2
489.0,396,2
490.0,396,2
491.0,396,2
492.0,395,2
493.0,398,2
494.0,397,2
495.0,396,2
496.0,396,2
497.0,398,2
498.0,399,2
499.0,399,2
500.0,403,2
501.0,406,2
502.0,406,2
503.0,407,2
504.0,406,2
505.0,407,2
506.0,409,2
507.0,409,2
508.0,411,2
509.0,411,2
510.0,414,2
511.0,414,2
512.0,417,2
513.0,414,2
514.0,415,2
515.0,418,2
516.0,416,2
517.0,416,2
518.0,418,2
519.0,418,2
520.0,419,2
521.0,420,2
522.0,421,2
523.0,423,2
524.0,424,2
525.0,424,2
526.0,428,2
527.0,428,2
528.0,432,2
529.0,432,2
530.0,436,2
531.0,435,2
532.0,437,2
533.0,439,2
534.0,438,2
535.0,440,2
536.0,442,2
537.0,444,2
538.0,447,2
539.0,448,2
540.0,448,2
541.0,448,2
542.0,449,2
543.0,448,2
544.0,450,2
545.0,451,2
546.0,451,2
547.0,452,2
548.0,452,2
549.0,452,2
550.0,455,2
551.0,454,2
552.0,455,2
553.0,457,2
554.0,456,2
555.0,457,2
556.0,457,2
557.0,457,2
558.0,461,2
559.0,458,2
560.0,460,2
561.0,461,2
562.0,464,2
563.0,466,2
564.0,469,2
565.0,469,2
566.0,471,2
567.0,471,2
568.0,473,2
569.0,472,2
570.0,474,2
571.0,478,2
572.0,480,2
573.0,481,2
574.0,484,2
575.0,485,2
576.0,485,2
577.0,487,2
578.0,489,2
579.0,489,2
580.0,490,2
581.0,493,2
582.0,496,2
583.0,499,2
584.0,497,2
585.0,501,2
586.0,502,2
587.0,503,2
588.0,503,2
589.0,505,2
590.0,506,2
591.0,510,2
592.0,511,2
593.0,512,2
594.0,514,2
595.0,513,2
596.0,513,2
597.0,516,2
598.0,516,2
599.0,516,2
600.0,517,2
601.0,518,2
602.0,521,2
603.0,521,2
604.0,522,2
605.0,525,2
606.0,527,2
607.0,529,2
608.0,530,2
609.0,532,2
610.0,536,2
611.0,535,2
612.0,537,2
613.0,540,2
614.0,544,2
615.0,544,2
616.0,547,2
617.0,546,2
618.0,548,2
619.0,549,2
620.0,553,2
621.0,553,2
622.0,552,2
623.0,551,2
624.0,553,2
625.0,553,2
626.0,554,2
627.0,554,2
628.0,554,2
629.0,555,2
630.0,557,2
631.0,557,2
632.0,557,2
633.0,559,3
634.0,562,3
635.0,564,3
636.0,563,3
637.0,563,3
638.0,563,4
639.0,566,4
640.0,563,4
641.0,563,4
642.0,564,4
643.0,565,4
644.0,566,4
645.0,569,4
646.0,566,4
647.0,565,4
648.0,566,4
649.0,567,4
650.0,568,4
651.0,571,4
652.0,573,4
653.0,571,4
654.0,571,4
655.0,572,4
656.0,575,4
657.0,577,4
658.0,579,4
659.0,578,4
660.0,578,4
661.0,582,4
662.0,582,4
663.0,583,4
664.0,585,4
665.0,587,4
666.0,587,4
667.0,587,4
668.0,589,4
669.0,590,4
670.0,592,4
671.0,595,4
672.0,595,4
673.0,596,4
674.0,599,4
675.0,596,4
676.0,596,4
677.0,599,4
678.0,601,4
679.0,604,4
680.0,607,4
681.0,607,4
682.0,607,4
683.0,610,5
684.0,614,5
685.0,616,5
686.0,616,5
687.0,618,5
688.0,618,5
689.0,621,5
690.0,623,5
691.0,624,6
692.0,628,6
693.0,630,6
694.0,633,6
695.0,636,6
696.0,637,6
697.0,639,6
698.0,638,6
699.0,640,6
700.0,641,6
701.0,644,6
702.0,644,7
703.0,646,7
704.0,647,7
705.0,644,7
706.0,644,7
707.0,648,7
708.0,646,8
709.0,648,8
710.0,650,8
711.0,650,8
712.0,653,8
713.0,654,8
714.0,653,9
715.0,654,9
716.0,656,9
717.0,654,9
718.0,654,9
719.0,654,9
720.0,654,9
721.0,654,9
722.0,657,9
723.0,654,9
724.0,658,9
725.0,656,9
726.0,656,9
727.0,658,9
728.0,659,9
729.0,662,9
730.0,663,9
731.0,661,9
732.0,661,9
733.0,660,9
734.0,661,9
735.0,661,9
736.0,662,9
737.0,661,9
738.0,661,9
739.0,661,9
740.0,663,9
741.0,664,9
742.0,666,9
743.0,668,9
744.0,668,9
745.0,669,9
746.0,669,9
747.0,671,9
748.0,674,9
749.0,672,9
750.0,675,9
751.0,678,9
752.0,679,9
753.0,680,9
754.0,680,9
755.0,679,9
756.0,682,9
757.0,681,9
758.0,679,9
759.0,680,9
760.0,680,9
761.0,682,9
762.0,683,9
763.0,682,9
764.0,683,9
765.0,681,9
766.0,682,9
767.0,683,9
768.0,686,9
769.0,685,9
770.0,688,9
771.0,688,9
772.0,689,9
773.0,690,9
774.0,691,9
775.0,691,9
776.0,692,9
777.0,691,9
778.0,693,9
779.0,692,9
780.0,694,9
781.0,691,9
782.0,691,9
783.0,692,9
784.0,691,9
785.0,691,9
786.0,691,9
787.0,692,9
788.0,693,9
789.0,693,9
790.0,693,9
791.0,693,9
792.0,696,9
793.0,696,9
794.0,698,9
795.0,700,9
796.0,700,9
797.0,703,9
798.0,702,9
799.0,704,9
800.0,704,9
801.0,705,9
802.0,706,9
803.0,706,9
804.0,708,9
805.0,707,9
806.0,707,9
807.0,709,9
808.0,710,9
809.0,710,9
810.0,711,9
811.0,709,9
812.0,710,9
813.0,713,9
814.0,713,9
815.0,713,9
816.0,713,9
817.0,716,9
818.0,717,9
819.0,716,9
820.0,719,9
821.0,721,10
822.0,722,10
823.0,722,10
824.0,722,10
825.0,721,10
826.0,721,10
827.0,721,10
828.0,723,10
829.0,725,10
830.0,721,10
831.0,722,10
832.0,721,10
833.0,720,10
834.0,723,10
835.0,723,10
836.0,723,10
837.0,724,10
838.0,724,10
839.0,726,10
840.0,726,10
841.0,726,10
842.0,725,10
843.0,726,10
844.0,727,10
845.0,727,10
846.0,727,10
847.0,730,10
848.0,730,10
849.0,733,10
850.0,735,10
851.0,734,10
852.0,735,10
853.0,735,10
854.0,735,10
855.0,736,10
856.0,736,10
857.0,736,10
858.0,738,10
859.0,738,10
860.0,738,10
861.0,738,10
862.0,739,10
863.0,739,10
864.0,740,10
865.0,740,10
866.0,740,10
867.0,740,10
868.0,742,10
869.0,741,10
870.0,742,10
871.0,742,10
872.0,742,10
873.0,742,10
874.0,743,10
875.0,743,10
876.0,746,10
877.0,744,10
878.0,745,10
879.0,746,10
880.0,747,10
881.0,747,10
882.0,750,10
883.0,750,10
884.0,751,10
885.0,753,10
886.0,755,10
887.0,753,10
888.0,755,10
889.0,754,10
890.0,754,10
891.0,755,10
892.0,754,10
893.0,755,10
894.0,755,10
895.0,756,10
896.0,756,10
897.0,758,10
898.0,758,10
899.0,760,10
900.0,759,10
901.0,762,10
902.0,762,10
903.0,762,10
904.0,762,10
905.0,763,10
906.0,765,10
907.0,767,10
908.0,768,10
909.0,768,10
910.0,769,10
911.0,772,10
912.0,775,10
913.0,778,10
914.0,777,10
915.0,777,10
916.0,777,10
917.0,778,10
918.0,779,10
919.0,779,10
920.0,781,10
921.0,779,10
922.0,781,10
923.0,779,10
924.0,779,10
925.0,781,10
926.0,779,10
927.0,781,10
928.0,780,10
929.0,780,10
930.0,780,10
931.0,782,10
932.0,784,10
933.0,784,10
934.0,784,10
935.0,784,10
936.0,786,10
937.0,784,10
938.0,785,10
939.0,785,10
940.0,787,10
941.0,787,11
942.0,787,10
943.0,787,10
944.0,788,10
945.0,788,10
946.0,788,10
947.0,790,10
948.0,791,10
949.0,791,11
950.0,792,11
951.0,791,11
952.0,791,11
953.0,791,11
954.0,792,11
955.0,795,11
956.0,793,11
957.0,793,11
958.0,795,11
959.0,796,11
960.0,797,11
961.0,795,11
962.0,796,11
963.0,796,11
964.0,796,11
965.0,797,11
966.0,800,11
967.0,800,11
968.0,803,11
969.0,806,11
970.0,807,11
971.0,809,11
972.0,809,11
973.0,813,11
974.0,813,11
975.0,814,11
976.0,815,11
977.0,815,12
978.0,815,12
979.0,815,13
980.0,816,13
981.0,817,13
982.0,820,13
983.0,823,13
984.0,823,13
985.0,824,13
986.0,823,13
987.0,823,13
988.0,823,13
989.0,824,13
990.0,826,13
991.0,826,13
992.0,826,13
993.0,829,13
994.0,829,13
995.0,830,13
996.0,830,13
997.0,833,13
998.0,833,13
999.0,832,13
1000.0,835,13
1001.0,834,13
1002.0,836,13
