"tick","Resource","Service"
1.0,1,0
2.0,2,0
3.0,2,0
4.0,3,0
5.0,6,0
6.0,6,0
7.0,6,0
8.0,9,0
9.0,9,0
10.0,9,0
11.0,10,0
12.0,10,0
13.0,11,0
14.0,12,0
15.0,12,0
16.0,13,0
17.0,13,0
18.0,13,0
19.0,13,0
20.0,13,0
21.0,15,0
22.0,18,0
23.0,19,0
24.0,20,0
25.0,21,0
26.0,24,0
27.0,25,0
28.0,25,0
29.0,25,0
30.0,26,0
31.0,27,0
32.0,27,0
33.0,27,0
34.0,27,0
35.0,27,0
36.0,27,0
37.0,28,0
38.0,28,0
39.0,29,0
40.0,29,0
41.0,29,0
42.0,29,0
43.0,29,0
44.0,30,0
45.0,31,0
46.0,32,0
47.0,32,0
48.0,32,0
49.0,32,0
50.0,32,0
51.0,32,0
52.0,32,0
53.0,32,0
54.0,32,0
55.0,32,0
56.0,32,0
57.0,32,0
58.0,32,0
59.0,32,0
60.0,32,0
61.0,32,0
62.0,32,0
63.0,32,0
64.0,32,0
65.0,32,0
66.0,32,0
67.0,32,0
68.0,32,0
69.0,32,0
70.0,33,0
71.0,33,0
72.0,33,0
73.0,33,0
74.0,33,0
75.0,33,0
76.0,33,0
77.0,33,0
78.0,33,0
79.0,33,0
80.0,33,0
81.0,33,0
82.0,33,0
83.0,33,0
84.0,33,0
85.0,35,0
86.0,35,0
87.0,35,0
88.0,36,0
89.0,37,0
90.0,37,0
91.0,37,0
92.0,40,0
93.0,40,0
94.0,43,0
95.0,44,0
96.0,48,0
97.0,48,0
98.0,49,0
99.0,49,0
100.0,49,0
101.0,51,0
102.0,54,0
103.0,54,0
104.0,56,0
105.0,57,0
106.0,58,0
107.0,61,0
108.0,62,0
109.0,62,0
110.0,62,0
111.0,62,0
112.0,62,0
113.0,62,0
114.0,64,0
115.0,65,0
116.0,65,0
117.0,68,0
118.0,68,0
119.0,68,0
120.0,69,0
121.0,69,0
122.0,69,0
123.0,69,0
124.0,69,0
125.0,69,0
126.0,69,0
127.0,69,0
128.0,69,0
129.0,69,0
130.0,69,0
131.0,69,0
132.0,70,0
133.0,70,0
134.0,70,0
135.0,70,0
136.0,70,0
137.0,70,0
138.0,70,0
139.0,70,0
140.0,70,0
141.0,70,0
142.0,70,0
143.0,70,0
144.0,70,0
145.0,70,0
146.0,70,0
147.0,70,0
148.0,70,0
149.0,70,0
150.0,70,0
151.0,70,0
152.0,70,0
153.0,70,0
154.0,70,0
155.0,70,0
156.0,70,0
157.0,70,0
158.0,70,0
159.0,70,0
160.0,71,0
161.0,71,0
162.0,71,0
163.0,71,0
164.0,71,0
165.0,71,0
166.0,72,0
167.0,72,0
168.0,72,0
169.0,74,0
170.0,74,0
171.0,74,0
172.0,74,0
173.0,74,0
174.0,74,0
175.0,74,0
176.0,75,0
177.0,75,0
178.0,75,0
179.0,76,0
180.0,77,0
181.0,77,0
182.0,78,0
183.0,78,0
184.0,79,0
185.0,79,0
186.0,80,0
187.0,81,0
188.0,84,0
189.0,84,0
190.0,84,0
191.0,85,0
192.0,86,0
193.0,88,0
194.0,91,0
195.0,94,0
196.0,95,0
197.0,95,0
198.0,96,0
199.0,99,0
200.0,100,0
201.0,100,0
202.0,100,0
203.0,100,0
204.0,100,0
205.0,100,0
206.0,101,0
207.0,101,0
208.0,101,0
209.0,101,0
210.0,102,0
211.0,102,0
212.0,102,0
213.0,106,0
214.0,106,0
215.0,107,0
216.0,107,0
217.0,109,0
218.0,109,0
219.0,110,0
220.0,111,0
221.0,111,0
222.0,112,0
223.0,112,0
224.0,112,0
225.0,112,0
226.0,112,0
227.0,112,0
228.0,113,0
229.0,113,0
230.0,113,0
231.0,113,0
232.0,113,0
233.0,113,0
234.0,113,0
235.0,113,0
236.0,114,0
237.0,114,0
238.0,114,0
239.0,114,0
240.0,114,0
241.0,114,0
242.0,114,0
243.0,114,0
244.0,114,0
245.0,115,0
246.0,118,0
247.0,118,0
248.0,120,0
249.0,122,0
250.0,122,0
251.0,122,0
252.0,126,0
253.0,126,0
254.0,127,0
255.0,127,0
256.0,129,0
257.0,129,0
258.0,129,1
259.0,131,1
260.0,131,2
261.0,131,2
262.0,132,2
263.0,133,2
264.0,135,2
265.0,135,2
266.0,136,2
267.0,136,2
268.0,136,2
269.0,136,2
270.0,136,3
271.0,136,3
272.0,137,3
273.0,138,3
274.0,138,3
275.0,138,4
276.0,139,4
277.0,139,4
278.0,139,4
279.0,140,4
280.0,140,5
281.0,141,5
282.0,142,5
283.0,142,5
284.0,142,5
285.0,142,5
286.0,143,5
287.0,144,5
288.0,145,5
289.0,145,5
290.0,145,5
291.0,145,5
292.0,145,5
293.0,145,5
294.0,145,5
295.0,145,5
296.0,145,5
297.0,145,5
298.0,145,5
299.0,145,5
300.0,145,5
301.0,145,5
302.0,145,5
303.0,145,5
304.0,145,5
305.0,145,5
306.0,145,5
307.0,145,5
308.0,145,5
309.0,145,5
310.0,145,5
311.0,145,5
312.0,145,5
313.0,145,5
314.0,145,5
315.0,145,5
316.0,145,5
317.0,145,5
318.0,145,5
319.0,145,5
320.0,145,5
321.0,145,5
322.0,145,5
323.0,145,5
324.0,145,5
325.0,145,5
326.0,145,5
327.0,145,5
328.0,145,5
329.0,145,5
330.0,145,5
331.0,145,5
332.0,145,5
333.0,145,6
334.0,145,6
335.0,145,6
336.0,145,6
337.0,145,6
338.0,145,6
339.0,145,6
340.0,145,6
341.0,145,6
342.0,145,6
343.0,145,6
344.0,145,6
345.0,146,6
346.0,146,6
347.0,146,6
348.0,147,6
349.0,147,6
350.0,147,6
351.0,147,6
352.0,147,6
353.0,147,6
354.0,147,6
355.0,147,6
356.0,149,6
357.0,149,6
358.0,150,6
359.0,150,6
360.0,150,6
361.0,150,6
362.0,150,6
363.0,150,6
364.0,150,6
365.0,152,6
366.0,153,6
367.0,154,6
368.0,154,6
369.0,155,6
370.0,155,6
371.0,155,6
372.0,156,6
373.0,157,6
374.0,157,6
375.0,158,6
376.0,159,6
377.0,161,6
378.0,162,6
379.0,163,6
380.0,164,6
381.0,167,6
382.0,168,6
383.0,170,6
384.0,171,6
385.0,171,6
386.0,172,6
387.0,172,6
388.0,173,6
389.0,174,6
390.0,175,6
391.0,177,6
392.0,177,6
393.0,179,6
394.0,181,6
395.0,182,6
396.0,183,6
397.0,184,6
398.0,184,6
399.0,185,6
400.0,185,6
401.0,186,6
402.0,186,6
403.0,186,6
404.0,186,6
405.0,188,6
406.0,188,6
407.0,188,6
408.0,188,6
409.0,191,6
410.0,192,6
411.0,192,6
412.0,193,6
413.0,193,6
414.0,193,6
415.0,193,6
416.0,193,6
417.0,194,6
418.0,196,6
419.0,198,6
420.0,199,6
421.0,199,6
422.0,199,6
423.0,200,6
424.0,201,6
425.0,201,6
426.0,201,6
427.0,201,6
428.0,201,6
429.0,201,6
430.0,201,6
431.0,201,6
432.0,201,6
433.0,201,6
434.0,203,6
435.0,203,6
436.0,204,6
437.0,207,6
438.0,208,6
439.0,208,6
440.0,208,6
441.0,208,6
442.0,210,6
443.0,210,6
444.0,212,6
445.0,213,6
446.0,216,6
447.0,216,6
448.0,216,6
