Tick,Quality,type,Task
12.0,0.5031091013792155,Order351-4,Task 231
13.0,0.032248688217367955,Order351-6,Task 233
14.3,6.551700152123214,Order351-1,Task 228
17.3,7.763966054600171,Order351-10,Task 237
21.3,1.1356388194299747,Order351-7,Task 234
29.3,4.202503848784181,Order351-3,Task 230
31.3,-0.04339598194799252,Order351-9,Task 236
33.3,-3.2100466774874983,Order351-8,Task 235
34.0,0.9356467039941214,Order346-6,Task 243
37.3,8.299387104387378,Order351-2,Task 229
39.3,11.273858169620478,Order346-7,Task 244
41.3,0.1468934726643613,Order346-1,Task 238
42.3,-2.466532245330784,Order346-5,Task 242
43.3,5.371304280299083,Order351-5,Task 232
46.3,2.7616598534889274,Order346-5,Task 252
49.3,10.890502644383712,Order346-10,Task 247
51.3,-0.16932999795029585,Order346-9,Task 246
53.3,0.17758799385944815,Order346-9,Task 256
54.3,25.09724236672611,Order346-3,Task 240
55.3,5.1178744360112365,Order346-4,Task 241
58.3,6.331998660364982,Order346-8,Task 245
59.3,20.630849367408413,Order346-3,Task 250
59.3,0.14816421000607874,Order348-9,Task 266
61.3,0.5032026295151835,Order346-6,Task 253
62.3,7.469092983487327,Order346-2,Task 239
64.3,7.121150362482497,Order346-7,Task 254
67.3,6.87612169477705,Order346-4,Task 251
68.0,9.474840956013717,Order345-2,Task 279
70.3,6.171287759100829,Order346-2,Task 249
74.3,4.600619437707601,Order346-8,Task 255
74.3,0.03779628472231111,Order346-1,Task 248
75.3,1.6987839942074987,Order348-5,Task 262
76.3,18.108677594000856,Order348-8,Task 265
79.3,7.812820357667213,Order346-10,Task 257
81.0,9.365973974867103,Order354-6,Task 312
81.3,-0.14738991724338724,Order348-6,Task 263
83.3,8.471954987677568,Order348-3,Task 260
84.3,0.5797848829475323,Order348-4,Task 261
89.3,0.0039383819899630745,Order348-10,Task 267
90.3,19.96736572733147,Order348-2,Task 259
91.3,4.4134432121611935,Order345-4,Task 281
91.3,0.17999637977976568,Order348-7,Task 264
92.3,18.844837066588696,Order348-1,Task 258
93.3,0.05775767037738752,Order349-10,Task 277
94.3,-0.39137369758425944,Order349-4,Task 271
95.3,6.602358431625491,Order349-3,Task 270
96.3,0.3233459118377844,Order349-2,Task 269
96.3,2.878444038933531,Order349-5,Task 272
98.3,-2.8486425005348535,Order349-6,Task 322
101.3,11.022605032742291,Order349-7,Task 274
103.3,3.1428044645426123,Order349-6,Task 273
105.3,0.19485487407642113,Order349-8,Task 275
106.3,18.92753732851206,Order345-8,Task 285
108.3,12.717279548204834,Order349-1,Task 268
109.3,7.273021628115977,Order349-9,Task 276
111.3,4.474120251531824,Order349-5,Task 292
112.3,5.614774230473213,Order345-6,Task 283
112.3,18.426406577684503,Order345-7,Task 284
114.3,13.209254351137936,Order349-6,Task 293
115.3,0.08400489285287538,Order345-1,Task 278
116.3,3.7349557977155605,Order345-3,Task 280
119.3,18.993705611873292,Order345-10,Task 287
121.3,9.254519508497975,Order345-5,Task 282
122.3,10.591221188834698,Order349-9,Task 296
122.3,6.792186160222502,Order345-9,Task 286
124.3,-4.654052005293751,Order350-9,Task 306
125.3,9.578637341572309,Order350-7,Task 304
127.3,-1.4382106977109483,Order349-3,Task 290
128.3,11.935469596436583,Order349-7,Task 294
129.3,5.695112507737585,Order349-6,Task 332
132.3,7.743849544903274,Order349-8,Task 295
134.3,19.721582636698418,Order350-2,Task 299
136.3,9.394493824488018,Order349-5,Task 331
136.3,11.043803183672331,Order349-2,Task 289
136.3,8.391896024308917,Order350-1,Task 298
136.3,-0.08196605952270097,Order349-4,Task 291
137.3,19.403868636026385,Order349-10,Task 297
139.3,11.849398140284205,Order349-1,Task 288
143.3,8.83562530306496,Order354-3,Task 309
145.3,0.8127925636045596,Order350-3,Task 300
146.3,15.055413450616797,Order350-4,Task 301
150.3,10.578448625726711,Order350-6,Task 303
157.3,12.911298780560541,Order350-5,Task 302
159.3,-0.7705395828207222,Order354-4,Task 310
159.3,10.626600995202041,Order350-8,Task 305
170.3,-3.074625920498714,Order354-8,Task 314
171.3,2.2589200882802967,Order354-2,Task 308
174.3,6.437800885328864,Order354-9,Task 315
176.3,-0.12758643748406628,Order354-10,Task 316
178.3,-2.2217182482318067,Order354-7,Task 313
178.3,20.65494927036078,Order354-1,Task 307
181.3,10.64849420359711,Order349-7,Task 323
181.3,9.877420211245735,Order354-5,Task 311
182.3,10.306767619300878,Order349-5,Task 321
182.3,21.437805812169643,Order349-3,Task 319
187.3,12.250461307563578,Order349-1,Task 317
191.3,8.446212724913439,Order349-8,Task 324
194.3,2.1936309582546585,Order349-2,Task 318
195.3,4.404665492915142,Order349-10,Task 326
199.3,4.8450275435997066,Order349-4,Task 320
202.3,8.83589310913632,Order349-9,Task 325
203.3,9.759548243124161,Order349-10,Task 336
205.3,9.012159937996566,Order349-1,Task 327
205.3,21.202495594685537,Order349-3,Task 329
214.3,10.099928214953737,Order349-8,Task 334
217.3,7.138802478902942,Order349-2,Task 328
217.3,9.713857567304405,Order349-4,Task 330
220.3,21.250384137060617,Order349-3,Task 339
221.3,12.22484357998194,Order349-9,Task 335
221.3,10.184871840195976,Order349-2,Task 338
224.3,13.417363904208548,Order349-7,Task 333
225.3,12.016208531523807,Order349-9,Task 345
229.3,1.467546624384564,Order349-5,Task 341
231.3,8.545822835122511,Order349-7,Task 343
231.3,6.442676104918687,Order349-1,Task 337
232.3,12.736512349581686,Order349-6,Task 342
235.3,9.974355766117297,Order349-8,Task 344
240.3,10.161566813829372,Order349-10,Task 346
242.3,-0.7011233421492002,Order352-8,Task 354
243.3,-1.2273649336632988,Order349-4,Task 340
244.3,20.41005235891775,Order352-4,Task 350
249.3,11.160301510414047,Order352-3,Task 349
253.3,10.933870051720058,Order352-5,Task 351
255.3,-3.2591004864228896,Order352-6,Task 352
255.3,13.038548470443704,Order353-2,Task 357
261.3,10.766160718369427,Order352-2,Task 348
262.3,6.32138249654112,Order352-7,Task 353
263.3,9.43009386813831,Order352-1,Task 347
264.3,9.806053661147693,Order352-9,Task 355
268.3,26.447190877037286,Order353-10,Task 365
271.3,0.07673250024423972,Order353-4,Task 359
272.3,15.42643006685313,Order353-5,Task 360
276.3,21.77669994154506,Order353-1,Task 356
276.3,20.33126475576679,Order353-9,Task 364
