Tick,Quality,type,Task
12.0,0.5031091013792155,Order351-4,Task 4959
13.0,0.032248688217367955,Order351-6,Task 4961
14.3,6.551700152123214,Order351-1,Task 4956
17.3,7.763966054600171,Order351-10,Task 4965
21.3,1.1356388194299747,Order351-7,Task 4962
29.3,4.202503848784181,Order351-3,Task 4958
31.3,-0.04339598194799252,Order351-9,Task 4964
33.3,-3.2100466774874983,Order351-8,Task 4963
34.0,0.9356467039941214,Order346-6,Task 4971
37.3,8.299387104387378,Order351-2,Task 4957
39.3,11.273858169620478,Order346-7,Task 4972
41.3,0.1468934726643613,Order346-1,Task 4966
42.3,-2.466532245330784,Order346-5,Task 4970
43.3,5.371304280299083,Order351-5,Task 4960
46.3,2.7616598534889274,Order346-5,Task 4980
49.3,10.890502644383712,Order346-10,Task 4975
51.3,-0.16932999795029585,Order346-9,Task 4974
53.3,0.17758799385944815,Order346-9,Task 4984
54.3,25.09724236672611,Order346-3,Task 4968
55.3,5.1178744360112365,Order346-4,Task 4969
58.3,6.331998660364982,Order346-8,Task 4973
59.3,20.630849367408413,Order346-3,Task 4978
59.3,0.14816421000607874,Order348-9,Task 4994
61.3,0.5032026295151835,Order346-6,Task 4981
62.3,7.469092983487327,Order346-2,Task 4967
64.3,7.121150362482497,Order346-7,Task 4982
67.3,6.87612169477705,Order346-4,Task 4979
68.0,9.474840956013717,Order345-2,Task 5007
70.3,6.171287759100829,Order346-2,Task 4977
74.3,4.600619437707601,Order346-8,Task 4983
74.3,0.03779628472231111,Order346-1,Task 4976
75.3,1.6987839942074987,Order348-5,Task 4990
76.3,18.108677594000856,Order348-8,Task 4993
79.3,7.812820357667213,Order346-10,Task 4985
81.0,9.365973974867103,Order354-6,Task 5040
81.3,-0.14738991724338724,Order348-6,Task 4991
83.3,8.471954987677568,Order348-3,Task 4988
84.3,0.5797848829475323,Order348-4,Task 4989
89.3,0.0039383819899630745,Order348-10,Task 4995
90.3,19.96736572733147,Order348-2,Task 4987
91.3,4.4134432121611935,Order345-4,Task 5009
91.3,0.17999637977976568,Order348-7,Task 4992
92.3,18.844837066588696,Order348-1,Task 4986
93.3,0.05775767037738752,Order349-10,Task 5005
94.3,-0.39137369758425944,Order349-4,Task 4999
95.3,6.602358431625491,Order349-3,Task 4998
96.3,0.3233459118377844,Order349-2,Task 4997
96.3,2.878444038933531,Order349-5,Task 5000
98.3,-2.8486425005348535,Order349-6,Task 5050
101.3,11.022605032742291,Order349-7,Task 5002
103.3,3.1428044645426123,Order349-6,Task 5001
105.3,0.19485487407642113,Order349-8,Task 5003
106.3,18.92753732851206,Order345-8,Task 5013
108.3,12.717279548204834,Order349-1,Task 4996
109.3,7.273021628115977,Order349-9,Task 5004
111.3,4.474120251531824,Order349-5,Task 5020
112.3,5.614774230473213,Order345-6,Task 5011
112.3,18.426406577684503,Order345-7,Task 5012
114.3,13.209254351137936,Order349-6,Task 5021
115.3,0.08400489285287538,Order345-1,Task 5006
116.3,3.7349557977155605,Order345-3,Task 5008
119.3,18.993705611873292,Order345-10,Task 5015
121.3,9.254519508497975,Order345-5,Task 5010
122.3,10.591221188834698,Order349-9,Task 5024
122.3,6.792186160222502,Order345-9,Task 5014
124.3,-4.654052005293751,Order350-9,Task 5034
125.3,9.578637341572309,Order350-7,Task 5032
127.3,-1.4382106977109483,Order349-3,Task 5018
128.3,11.935469596436583,Order349-7,Task 5022
129.3,5.695112507737585,Order349-6,Task 5060
132.3,7.743849544903274,Order349-8,Task 5023
134.3,19.721582636698418,Order350-2,Task 5027
136.3,9.394493824488018,Order349-5,Task 5059
136.3,11.043803183672331,Order349-2,Task 5017
136.3,8.391896024308917,Order350-1,Task 5026
136.3,-0.08196605952270097,Order349-4,Task 5019
137.3,19.403868636026385,Order349-10,Task 5025
139.3,11.849398140284205,Order349-1,Task 5016
143.3,8.83562530306496,Order354-3,Task 5037
145.3,0.8127925636045596,Order350-3,Task 5028
146.3,15.055413450616797,Order350-4,Task 5029
150.3,10.578448625726711,Order350-6,Task 5031
157.3,12.911298780560541,Order350-5,Task 5030
159.3,-0.7705395828207222,Order354-4,Task 5038
159.3,10.626600995202041,Order350-8,Task 5033
170.3,-3.074625920498714,Order354-8,Task 5042
171.3,2.2589200882802967,Order354-2,Task 5036
174.3,6.437800885328864,Order354-9,Task 5043
176.3,-0.12758643748406628,Order354-10,Task 5044
178.3,-2.2217182482318067,Order354-7,Task 5041
178.3,20.65494927036078,Order354-1,Task 5035
181.3,10.64849420359711,Order349-7,Task 5051
181.3,9.877420211245735,Order354-5,Task 5039
182.3,10.306767619300878,Order349-5,Task 5049
182.3,21.437805812169643,Order349-3,Task 5047
187.3,12.250461307563578,Order349-1,Task 5045
191.3,8.446212724913439,Order349-8,Task 5052
194.3,2.1936309582546585,Order349-2,Task 5046
195.3,4.404665492915142,Order349-10,Task 5054
199.3,4.8450275435997066,Order349-4,Task 5048
202.3,8.83589310913632,Order349-9,Task 5053
203.3,9.759548243124161,Order349-10,Task 5064
205.3,9.012159937996566,Order349-1,Task 5055
205.3,21.202495594685537,Order349-3,Task 5057
214.3,10.099928214953737,Order349-8,Task 5062
217.3,7.138802478902942,Order349-2,Task 5056
217.3,9.713857567304405,Order349-4,Task 5058
220.3,21.250384137060617,Order349-3,Task 5067
221.3,12.832854134088793,Order349-9,Task 5063
221.3,10.643418930033492,Order349-2,Task 5066
224.3,11.29482004426223,Order349-7,Task 5061
225.3,12.442195179795906,Order349-9,Task 5073
228.3,-1.6097944926771453,Order349-5,Task 5069
232.3,15.209632929858717,Order349-1,Task 5065
232.3,8.652665071201868,Order349-7,Task 5071
233.3,15.024468870183316,Order349-6,Task 5070
236.3,10.115836577877078,Order349-8,Task 5072
236.3,32.47305244538856,Order349-3,Task 5195
240.3,9.430922146572122,Order349-10,Task 5074
242.3,0.8854467365792112,Order352-8,Task 5082
243.3,-1.426207722899143,Order349-4,Task 5068
244.3,18.302757068979233,Order352-4,Task 5078
248.3,10.284739871854168,Order352-3,Task 5077
253.3,11.17872961272939,Order352-5,Task 5079
255.3,10.340882155162674,Order353-2,Task 5085
255.3,-0.06975406254120098,Order352-6,Task 5080
261.3,17.66966995280456,Order352-7,Task 5081
261.3,15.911870510839943,Order352-2,Task 5076
263.3,10.103038611232696,Order352-1,Task 5075
264.3,10.278803717724456,Order352-9,Task 5083
268.3,11.022865441367584,Order353-10,Task 5093
270.3,-1.0105528310274692,Order353-4,Task 5087
271.3,15.459917579778535,Order353-5,Task 5088
275.3,19.060719578878093,Order353-1,Task 5084
275.3,18.276763655328125,Order353-9,Task 5092
277.3,11.930636706523554,Order353-3,Task 5086
277.3,10.120969918279572,Order353-8,Task 5091
281.3,10.416906548712975,Order353-7,Task 5090
282.3,15.237563846331346,Order353-9,Task 5102
288.3,9.841711215022137,Order353-6,Task 5089
292.3,24.5705207381483,Order353-1,Task 5094
293.3,24.89899782399358,Order353-10,Task 5103
294.3,9.638357535192021,Order353-2,Task 5095
295.3,10.677995336475094,Order353-6,Task 5099
301.3,15.801763693257735,Order348-1,Task 5104
301.3,11.735045169450524,Order353-8,Task 5101
305.3,10.053789398967156,Order353-7,Task 5100
308.3,10.333055591928158,Order353-3,Task 5096
313.3,2.826393099849595,Order353-4,Task 5097
317.3,14.691129449623332,Order353-5,Task 5098
320.3,10.330502632512925,Order348-7,Task 5110
320.3,23.295823774273124,Order348-8,Task 5111
325.3,14.935952508723835,Order348-6,Task 5109
327.3,21.11658831375924,Order348-3,Task 5106
329.3,12.122031880784212,Order348-1,Task 5114
331.3,12.196859338006165,Order348-9,Task 5112
331.3,20.539807407764897,Order348-2,Task 5105
332.3,10.223505595768755,Order348-10,Task 5113
336.3,0.656115144797011,Order348-5,Task 5108
336.3,22.97843965649398,Order348-9,Task 5122
337.3,21.554173242915226,Order351-10,Task 5143
337.3,16.959613305331963,Order348-2,Task 5115
342.3,16.605399380109002,Order348-4,Task 5107
343.3,27.45552053197522,Order348-7,Task 5120
344.3,12.21867974344491,Order348-6,Task 5119
346.3,0.6476816536576313,Order351-3,Task 5136
346.3,10.481437300695642,Order346-1,Task 5124
349.3,8.841254723177988,Order348-10,Task 5123
352.3,23.7079559426139,Order348-8,Task 5121
354.3,-1.0917938793927322,Order348-5,Task 5118
355.3,8.686462453506756,Order351-4,Task 5137
356.3,15.684701507611429,Order346-4,Task 5127
359.3,19.35407765566079,Order348-3,Task 5116
360.3,14.148968481258848,Order348-4,Task 5117
362.3,0.01767204256441346,Order346-2,Task 5125
362.3,0.07427393021665973,Order351-5,Task 5138
364.3,1.0222769394573799,Order346-5,Task 5128
364.3,7.21298133492847,Order351-8,Task 5141
365.3,16.317456110424267,Order351-1,Task 5134
368.3,-2.1880243972653393,Order346-6,Task 5129
370.3,9.0405135031969,Order351-6,Task 5139
370.3,16.642879687207895,Order346-7,Task 5130
376.3,12.917589667238675,Order346-10,Task 5133
380.3,17.351358356352527,Order351-2,Task 5135
381.3,-1.1625265163925904,Order348-5,Task 5148
385.3,2.612072060279144,Order351-9,Task 5142
387.3,9.470105011451691,Order346-9,Task 5132
388.3,5.7113272471537275,Order346-8,Task 5131
390.3,14.114645136514987,Order346-3,Task 5126
397.3,18.139551924071995,Order351-7,Task 5140
401.3,4.530104672894599,Order348-2,Task 5145
403.3,7.218217806374849,Order348-10,Task 5153
405.3,21.404147426431518,Order348-8,Task 5151
410.3,6.411820504491626,Order348-6,Task 5149
411.3,7.215891990899623,Order348-1,Task 5144
413.3,4.371754393386774,Order348-4,Task 5147
415.3,9.938421244036002,Order348-9,Task 5152
422.3,6.841375961724884,Order348-7,Task 5150
424.3,11.238527861845746,Order350-2,Task 5165
424.3,20.518479717559998,Order348-3,Task 5146
430.3,8.134420799093395,Order350-5,Task 5168
430.3,6.924000182749499,Order346-2,Task 5155
434.3,7.688532964320844,Order350-6,Task 5169
440.3,13.405032447806965,Order346-7,Task 5160
441.3,1.1711252063423605,Order346-3,Task 5156
443.3,7.054281976911762,Order350-8,Task 5171
445.3,1.678435633026686,Order350-7,Task 5170
447.3,10.162713826306637,Order346-1,Task 5154
448.3,1.9477088736323858,Order346-5,Task 5158
449.3,-0.45925843282742984,Order346-6,Task 5159
450.3,13.649284286430918,Order346-4,Task 5157
451.3,7.060658479590032,Order346-9,Task 5162
452.3,4.14988432779042,Order350-1,Task 5164
452.3,1.0309655584074209,Order346-8,Task 5161
454.3,12.738939579125743,Order351-1,Task 5173
456.3,0.7573283107388236,Order350-9,Task 5172
457.3,7.0912490374901305,Order346-10,Task 5163
457.3,21.556253754249855,Order351-10,Task 5182
459.3,21.90887827265273,Order351-6,Task 5178
461.3,5.235471198601047,Order350-3,Task 5166
462.3,11.33793441119546,Order351-3,Task 5175
462.3,15.175630622717891,Order351-4,Task 5176
466.3,7.560974028784628,Order351-7,Task 5179
466.3,12.256000560337947,Order350-4,Task 5167
469.3,15.16974204452911,Order351-2,Task 5174
470.3,25.4448816902092,Order349-3,Task 5410
470.3,13.876112761452944,Order351-8,Task 5180
472.3,13.030133601695766,Order348-3,Task 5185
474.3,16.184233778010114,Order348-8,Task 5190
475.3,13.119899371325966,Order351-5,Task 5177
478.3,14.588265208878886,Order351-9,Task 5181
480.3,1.529772568257795,Order348-4,Task 5186
480.3,2.7973002381319456,Order348-1,Task 5183
483.3,11.047330321437437,Order349-5,Task 5197
485.3,21.73289758762128,Order348-6,Task 5188
485.3,9.931890144727099,Order350-7,Task 5209
488.3,26.069058700302126,Order348-5,Task 5187
490.3,3.6618778212535514,Order348-10,Task 5192
490.3,0.82377306515072,Order348-2,Task 5184
494.3,23.580216537650706,Order348-9,Task 5191
498.3,11.76751502187926,Order349-2,Task 5194
502.3,16.824860953175527,Order348-7,Task 5189
510.3,8.9408741699886,Order349-6,Task 5198
513.3,14.719459518597175,Order349-8,Task 5200
516.3,12.971096541476903,Order349-9,Task 5201
517.3,18.018031101461176,Order349-10,Task 5202
519.3,12.551749932161451,Order349-1,Task 5193
519.3,17.111451955825103,Order349-7,Task 5199
523.3,17.804069584197045,Order349-4,Task 5196
525.3,8.57307910096447,Order350-8,Task 5210
528.3,2.810306085530955,Order350-1,Task 5203
528.3,8.50364163030822,Order350-6,Task 5208
530.3,14.618327262367782,Order350-2,Task 5204
532.3,4.047592361846521,Order350-3,Task 5205
535.3,18.542167510379834,Order350-5,Task 5207
537.3,7.452022938180615,Order350-9,Task 5211
538.3,20.269863772670867,Order350-4,Task 5206
539.3,26.466333790658936,Order354-1,Task 5212
540.3,14.957945532886438,Order354-9,Task 5220
541.3,0.3166612786517158,Order354-4,Task 5215
543.3,15.602856247193285,Order354-2,Task 5213
546.3,14.183655126728356,Order354-6,Task 5217
548.3,23.280513956192667,Order354-7,Task 5218
549.3,15.429283078392135,Order354-10,Task 5221
