"tick","Quality Max","Res Queue Max","Rank Max","Ser Queue Max"
1.0,NaN,0.0,0.0,NaN
2.0,NaN,0.0,0.0,NaN
3.0,NaN,0.0,0.0,NaN
4.0,NaN,0.0,0.0,NaN
5.0,NaN,0.0,0.0,NaN
6.0,NaN,0.0,0.0,NaN
7.0,NaN,0.0,0.0,NaN
8.0,NaN,0.0,0.0,NaN
9.0,Infinity,0.0,0.0,NaN
10.0,Infinity,1.0,0.0,NaN
11.0,Infinity,1.0,0.0,NaN
12.0,Infinity,0.0,9.477965786887971,NaN
13.0,Infinity,0.0,9.477965786887971,NaN
14.0,Infinity,0.0,9.477965786887971,NaN
15.0,Infinity,0.0,9.477965786887971,NaN
16.0,Infinity,0.0,9.477965786887971,NaN
17.0,Infinity,0.0,9.477965786887971,NaN
18.0,Infinity,0.0,10.889420748075757,NaN
19.0,Infinity,0.0,10.889420748075757,NaN
20.0,Infinity,0.0,10.889420748075757,NaN
21.0,Infinity,0.0,10.889420748075757,NaN
22.0,Infinity,2.0,13.342777481657743,NaN
23.0,Infinity,2.0,11.2242517676197,NaN
24.0,Infinity,5.0,11.2242517676197,NaN
25.0,Infinity,3.0,32.02387335921223,NaN
26.0,Infinity,3.0,32.02387335921223,NaN
27.0,Infinity,3.0,32.02387335921223,NaN
28.0,Infinity,3.0,32.02387335921223,NaN
29.0,Infinity,3.0,32.02387335921223,NaN
30.0,Infinity,2.0,33.39461599961039,NaN
31.0,Infinity,7.0,33.39461599961039,NaN
32.0,Infinity,7.0,33.39461599961039,NaN
33.0,Infinity,7.0,33.39461599961039,NaN
34.0,Infinity,7.0,33.39461599961039,NaN
35.0,Infinity,7.0,33.39461599961039,NaN
36.0,Infinity,10.0,33.39461599961039,NaN
37.0,Infinity,10.0,33.39461599961039,NaN
38.0,Infinity,9.0,33.393766267998124,NaN
39.0,Infinity,9.0,33.393766267998124,NaN
40.0,Infinity,9.0,33.393766267998124,NaN
41.0,Infinity,9.0,33.391156715249885,NaN
42.0,Infinity,9.0,33.39115628267696,NaN
43.0,Infinity,9.0,33.39115628267696,NaN
44.0,Infinity,7.0,33.39109657420734,NaN
45.0,Infinity,7.0,33.39109657420734,NaN
46.0,Infinity,7.0,33.39109657420734,NaN
47.0,Infinity,7.0,33.39109657420734,NaN
48.0,Infinity,7.0,33.39109657420733,NaN
49.0,Infinity,7.0,33.39109657359356,NaN
50.0,Infinity,7.0,33.39109657359356,NaN
51.0,Infinity,5.0,33.39108958388658,NaN
52.0,Infinity,5.0,33.39108958388658,NaN
53.0,Infinity,5.0,33.39108958388658,NaN
54.0,Infinity,5.0,33.39108958388658,NaN
55.0,Infinity,5.0,33.39102412772707,NaN
56.0,Infinity,5.0,33.39102412772707,NaN
57.0,Infinity,5.0,33.39102412772707,NaN
58.0,Infinity,5.0,33.39102412772707,NaN
59.0,Infinity,5.0,33.39102412772707,NaN
60.0,Infinity,3.0,33.39102412772707,NaN
61.0,Infinity,3.0,33.3910242067014,NaN
62.0,Infinity,2.0,33.3910242067014,NaN
63.0,Infinity,2.0,33.3910242067014,NaN
