Tick,Quality,type,Task
13.3,7.218195046352713,Order349-3,Task 19758
14.3,22.592136570946565,Order349-7,Task 19762
14.3,30.634400801127846,Order350-7,Task 19772
17.0,15.569634466650173,Order350-3,Task 19768
18.3,-2.6563342546502806,Order349-4,Task 19759
24.3,20.74195305008887,Order349-9,Task 19764
27.3,14.057453573955083,Order349-1,Task 19756
28.3,5.0446436821968375,Order349-8,Task 19763
29.3,21.580398763537964,Order349-5,Task 19760
31.3,19.972546782741638,Order350-4,Task 19769
32.3,17.79436728375592,Order349-10,Task 19765
33.3,4.121731717021229,Order350-1,Task 19766
37.3,25.30160194960147,Order349-6,Task 19761
37.3,26.077285440908742,Order350-9,Task 19774
39.3,0.09256873466025706,Order350-8,Task 19773
43.3,1.3913054950817614,Order349-2,Task 19757
46.3,5.701620778527665,Order350-5,Task 19770
48.3,1.4989876593036957,Order350-2,Task 19767
50.3,2.951991406085443,Order350-6,Task 19771
55.3,16.23457841855017,Order354-10,Task 19784
57.3,6.601070586987918,Order354-1,Task 19775
60.3,9.079808284127354,Order354-5,Task 19779
61.3,5.268777877807207,Order354-3,Task 19777
61.3,25.54205683140503,Order354-6,Task 19780
64.3,1.8282260551746852,Order354-8,Task 19782
64.3,19.509249503073075,Order354-7,Task 19781
65.3,2.3146795908919615,Order354-2,Task 19776
66.0,17.997436883307905,Order349-2,Task 19786
66.3,23.387447030645376,Order349-10,Task 19794
67.3,12.653163589689903,Order349-3,Task 19787
68.3,23.476340662885224,Order354-9,Task 19783
69.3,12.461855983522304,Order349-8,Task 19792
71.3,24.08750261130929,Order349-9,Task 19793
72.3,6.3637771889874095,Order354-4,Task 19778
73.3,23.961104976257353,Order349-6,Task 19790
74.3,23.607446149737644,Order349-7,Task 19791
75.3,23.523957090593864,Order349-5,Task 19789
75.3,14.534715229059248,Order349-4,Task 19788
78.3,28.37991119989967,Order349-1,Task 19785
90.3,6.922011586163672,Order347-6,Task 19800
94.3,19.13842692078239,Order347-2,Task 19796
95.3,25.752601868526455,Order347-5,Task 19799
98.3,16.556608589673964,Order347-9,Task 19803
103.3,22.878581787012457,Order347-1,Task 19795
105.3,4.35952991581787,Order347-3,Task 19797
106.3,20.986109486228248,Order347-10,Task 19804
109.3,6.279856749770222,Order347-8,Task 19802
110.3,22.642902037589437,Order347-4,Task 19798
110.3,27.24634074428375,Order347-6,Task 19810
115.3,22.818634518366164,Order347-5,Task 19809
115.3,6.224123387074686,Order347-7,Task 19801
117.3,24.43500749507925,Order347-4,Task 19808
117.3,6.0937524087956,Order347-1,Task 19805
125.3,19.952241171073844,Order347-9,Task 19813
131.3,24.728153449636324,Order354-7,Task 19841
131.3,22.989787414239338,Order347-2,Task 19806
132.3,2.45950881357123,Order347-7,Task 19811
134.3,8.924190744311089,Order347-4,Task 19828
138.3,18.843250813503158,Order353-3,Task 19817
140.3,3.042350176630695,Order347-10,Task 19814
142.3,22.464377224866823,Order347-3,Task 19807
143.3,-3.6390033225630187,Order347-8,Task 19812
144.3,2.1241206273373665,Order354-1,Task 19835
145.3,20.925133854121956,Order347-5,Task 19829
146.3,25.043413560402403,Order353-7,Task 19821
147.3,21.553144424239537,Order353-9,Task 19823
