Tick,Quality,type,Task
313.3,21.135624676630975,Order354-3,Task 9051
314.3,15.44144818216666,Order354-8,Task 9056
315.3,8.056813813286515,Order354-2,Task 9050
316.3,15.420637878446007,Order354-6,Task 9054
317.3,10.181811668661918,Order350-1,Task 9059
318.3,17.197672883694764,Order345-10,Task 9048
318.3,14.477306815865333,Order354-9,Task 9057
326.3,13.748389081048408,Order350-4,Task 9062
327.3,24.416209553619726,Order354-7,Task 9055
329.3,4.254328510184403,Order354-10,Task 9058
331.3,5.998533339181975,Order350-8,Task 9066
332.3,14.411163634243808,Order345-10,Task 9232
336.3,15.61593051880119,Order350-7,Task 9065
336.3,2.8550031920909644,Order354-4,Task 9052
338.3,7.664109341723375,Order350-5,Task 9063
341.3,7.171369388124327,Order350-6,Task 9064
343.3,20.633761951038288,Order354-5,Task 9053
343.3,7.16194355489036,Order350-2,Task 9060
345.3,20.317217646260293,Order350-9,Task 9067
347.3,14.883356581823758,Order351-4,Task 9071
350.3,15.621926707048633,Order351-1,Task 9068
352.3,7.457504273860293,Order351-7,Task 9074
352.3,7.900929133060075,Order350-3,Task 9061
355.3,15.707793380750774,Order351-3,Task 9070
360.3,15.149477088454416,Order351-9,Task 9076
361.3,7.524811424556296,Order351-5,Task 9072
363.3,20.3800221228091,Order351-8,Task 9075
367.3,8.198027639125433,Order351-2,Task 9069
369.3,7.667493917400484,Order351-6,Task 9073
370.3,8.494976398263791,Order348-1,Task 9078
371.3,7.761905948789023,Order348-3,Task 9080
371.3,9.25674111671691,Order348-7,Task 9084
374.3,7.371493426366081,Order348-8,Task 9085
382.3,17.428153721493903,Order348-5,Task 9082
382.3,11.581173452518486,Order348-4,Task 9081
388.3,22.646340578713467,Order348-9,Task 9086
393.3,7.538022272726898,Order348-2,Task 9079
394.3,9.577066101419005,Order348-10,Task 9087
396.3,16.70963595774555,Order348-6,Task 9083
397.3,14.593353394954207,Order345-4,Task 9091
398.3,4.043091171991342,Order345-3,Task 9090
401.3,3.608175781614434,Order345-8,Task 9095
404.3,18.195525270369593,Order345-6,Task 9093
404.3,2.034073918731552,Order345-2,Task 9089
405.3,6.9840311425664305,Order345-7,Task 9094
407.3,-0.38935914515354764,Order345-1,Task 9088
408.3,28.014701052001122,Order350-7,Task 9114
413.3,18.45048809440745,Order345-10,Task 9097
414.3,7.717249223933746,Order350-2,Task 9109
415.3,20.04773404963873,Order345-5,Task 9092
416.3,7.678863602279973,Order345-9,Task 9096
417.3,14.385993572378961,Order349-10,Task 9107
418.3,8.753752247003536,Order350-8,Task 9115
421.3,13.57284267998996,Order350-1,Task 9108
422.3,16.42008249740527,Order349-7,Task 9104
425.3,7.939685870042911,Order350-3,Task 9110
425.3,20.618658634748133,Order349-9,Task 9106
428.3,7.7828422731921965,Order349-4,Task 9101
431.3,8.008094739144344,Order349-3,Task 9100
432.3,11.17147547188867,Order350-9,Task 9116
435.3,15.162089413112607,Order349-1,Task 9098
439.3,18.168999655807067,Order349-8,Task 9105
443.3,14.142584108586089,Order349-2,Task 9099
443.3,7.616782100013977,Order350-6,Task 9113
450.3,13.795469587943272,Order349-5,Task 9102
450.3,7.844147693852899,Order350-5,Task 9112
453.3,18.200836727236155,Order350-4,Task 9111
454.3,8.060888332703644,Order349-4,Task 9120
457.3,7.56901885088867,Order349-3,Task 9119
460.3,17.92544640865262,Order349-6,Task 9103
464.3,23.0578020223378,Order349-8,Task 9124
467.3,19.19594625035802,Order349-5,Task 9121
469.3,18.350493638472024,Order349-10,Task 9126
470.3,18.1587203678407,Order352-6,Task 9132
470.3,21.04569541970899,Order349-2,Task 9118
471.3,22.56887944472624,Order349-7,Task 9123
473.3,22.956066797618398,Order352-5,Task 9131
473.3,18.305579278105874,Order349-1,Task 9117
474.3,19.283738461138245,Order349-9,Task 9125
475.3,17.00508970015719,Order352-6,Task 9141
477.3,18.805476061390266,Order352-8,Task 9134
478.3,17.407136815734884,Order352-1,Task 9127
478.3,13.205305552174393,Order349-6,Task 9122
478.3,16.02270298899779,Order349-2,Task 9146
479.3,7.521866275128133,Order352-9,Task 9135
482.3,7.6798907801071215,Order352-2,Task 9128
483.3,7.839573077287033,Order352-4,Task 9130
484.3,7.495296609461887,Order352-3,Task 9129
484.3,19.502602087409628,Order354-5,Task 9383
491.3,7.01078144278074,Order352-7,Task 9133
497.3,7.500420475831619,Order352-7,Task 9142
503.3,8.345050305991258,Order352-3,Task 9138
505.3,22.941148341436097,Order349-6,Task 9150
505.3,8.75290869533261,Order352-2,Task 9137
506.3,14.641854506905704,Order349-4,Task 9148
507.3,17.095358831833487,Order352-5,Task 9140
508.3,7.527896368311502,Order352-9,Task 9144
509.3,16.280128184862605,Order352-8,Task 9143
510.3,6.443074750827233,Order352-4,Task 9139
510.3,21.04967831143079,Order354-1,Task 9155
512.3,4.726560681895377,Order349-7,Task 9151
512.3,16.48043032203975,Order352-1,Task 9136
513.3,25.865808146538665,Order354-6,Task 9160
513.3,21.68513023382763,Order354-3,Task 9157
515.3,7.900421707428563,Order349-9,Task 9153
515.3,16.084349453355642,Order349-3,Task 9147
516.3,3.1228278370907976,Order349-8,Task 9152
516.3,15.59187255419511,Order349-5,Task 9149
519.3,8.899139820736355,Order349-10,Task 9154
520.3,9.993369102610675,Order354-10,Task 9164
521.3,19.68760696492953,Order349-1,Task 9145
522.3,17.022997969526873,Order354-2,Task 9156
525.3,15.838812120886814,Order354-7,Task 9161
533.3,5.710079468253807,Order354-4,Task 9158
537.3,16.546714557346984,Order350-7,Task 9171
537.3,16.3052257013599,Order354-9,Task 9163
539.3,1.6974416233826055,Order350-2,Task 9166
543.3,16.377821354238502,Order350-1,Task 9165
548.3,14.911597470603109,Order354-8,Task 9162
554.3,11.92518522081638,Order354-5,Task 9159
555.3,12.034169334017324,Order350-9,Task 9173
558.3,7.919235663342837,Order350-6,Task 9170
561.3,9.845250647202366,Order350-8,Task 9172
561.3,19.795236083122646,Order350-5,Task 9169
564.3,14.298226817972571,Order350-3,Task 9167
565.3,-2.0537040046231896,Order349-2,Task 9175
566.3,4.1700407456558946,Order349-5,Task 9178
567.3,18.517682010912097,Order349-4,Task 9177
568.3,4.494579544470685,Order349-3,Task 9176
568.3,7.046307280657371,Order350-4,Task 9168
572.3,6.2177970309027355,Order349-10,Task 9183
573.3,4.431860909713677,Order349-7,Task 9180
