Tick,Quality,type,Task
9.3,4.196979812402427,Order347-6,Task 36916
11.3,9.802612028533938,Order347-5,Task 36915
14.0,7.997935493368848,Order347-6,Task 36936
14.3,1.5998684106432708,Order353-7,Task 36927
15.3,4.318196951546496,Order347-3,Task 36913
15.3,9.13311571056168,Order347-10,Task 36920
16.3,5.596023107838992,Order347-1,Task 36911
19.3,4.808287068897945,Order353-9,Task 36929
20.3,20.290353273154725,Order353-1,Task 36921
21.3,10.338633753428184,Order353-3,Task 36923
22.3,-2.793380438275406,Order353-10,Task 36930
23.3,13.05331657652353,Order347-10,Task 36940
25.3,10.695866316187933,Order353-8,Task 36928
27.3,9.866691824395097,Order347-5,Task 36935
27.3,5.889349342135784,Order353-2,Task 36922
27.3,2.2615548906996827,Order347-1,Task 36931
29.3,18.114145743245743,Order347-3,Task 36933
32.3,4.9570031248654285,Order347-7,Task 36937
34.3,4.693394688782629,Order347-4,Task 36914
34.3,2.9501974369312047,Order347-4,Task 36934
35.3,5.384088176695057,Order347-7,Task 36917
42.3,8.580663729954349,Order347-9,Task 36939
47.0,10.094615950887462,Order354-6,Task 36986
47.3,9.258877902139178,Order354-7,Task 36987
53.3,2.1677065813689635,Order347-8,Task 36918
64.3,1.638481030386043,Order347-8,Task 36938
74.3,3.3691923265034243,Order353-5,Task 36925
79.3,4.063627840161332,Order346-7,Task 36947
81.3,-0.3547657882201687,Order346-2,Task 36942
83.3,10.913689133589996,Order347-9,Task 36919
86.3,3.9674415030424037,Order346-9,Task 36949
90.3,4.989248662543051,Order346-4,Task 36944
90.3,18.468878787472843,Order351-1,Task 37021
91.3,1.7932839615725717,Order346-7,Task 36957
91.3,0.44602032379335466,Order353-6,Task 36926
95.3,2.497864466884187,Order346-8,Task 36948
96.3,1.909165091549309,Order346-4,Task 36954
97.3,6.507141019762037,Order347-2,Task 36912
97.3,1.7079941333409703,Order346-10,Task 36950
99.3,4.220077975529817,Order346-1,Task 36941
103.3,7.025382182582661,Order347-2,Task 36932
106.3,3.5361845648916623,Order346-3,Task 36943
108.3,9.122382338809796,Order346-3,Task 36953
110.3,10.100170495058595,Order348-6,Task 36966
110.3,4.259979756330506,Order346-2,Task 36952
111.3,-0.49160113415412177,Order346-8,Task 36958
113.3,9.781531615891007,Order346-1,Task 36951
116.3,5.320446339639066,Order346-10,Task 36960
118.3,7.288631819743778,Order353-4,Task 36924
119.3,0.21923260910608677,Order348-8,Task 36968
120.3,0.32971507467496286,Order346-9,Task 36959
120.3,10.592102571702862,Order348-5,Task 36965
122.3,7.581550459639818,Order346-5,Task 36955
123.3,7.149502687284177,Order346-6,Task 36946
127.3,7.311692851040841,Order346-5,Task 36945
128.3,7.270402324329143,Order346-6,Task 36956
132.3,5.836333161762201,Order348-3,Task 36963
133.3,9.351331044426528,Order348-4,Task 36964
138.3,9.244815640221285,Order348-10,Task 36970
140.3,12.933020518297266,Order348-7,Task 36967
141.3,5.681235631544068,Order348-1,Task 36961
143.3,4.312943579057522,Order348-2,Task 36962
146.3,15.709011759329467,Order348-9,Task 36969
152.3,1.0804122917656482,Order347-7,Task 36977
154.3,25.22783217454268,Order347-6,Task 36976
162.0,26.84565235639072,Order351-10,Task 37069
163.3,-0.12396170809157003,Order347-8,Task 36978
165.3,0.34615877614639023,Order354-2,Task 36982
173.3,15.74621261398809,Order347-9,Task 36979
174.3,20.480591842420168,Order347-4,Task 36974
178.3,9.003681297141505,Order347-2,Task 36972
178.3,8.208903410129913,Order354-1,Task 36981
179.3,10.115432648674917,Order354-9,Task 36989
180.3,9.80023291553909,Order347-10,Task 36980
181.3,2.6334789584992655,Order354-10,Task 36990
181.3,10.154340191821193,Order354-4,Task 36984
181.3,10.56051226100364,Order347-1,Task 36971
184.3,5.1769735335373905,Order353-10,Task 37000
184.3,10.360900382601343,Order347-5,Task 36975
187.3,11.342858103869837,Order354-5,Task 36985
188.3,27.10408537141898,Order347-3,Task 36973
191.3,14.078827081533293,Order353-9,Task 36999
193.3,10.660782821785233,Order353-3,Task 36993
193.3,13.789189264256507,Order345-5,Task 37005
194.3,10.81308130036908,Order354-3,Task 36983
197.3,9.5392692826999,Order354-8,Task 36988
198.3,-0.9059049388504752,Order353-2,Task 36992
200.3,9.318610081887341,Order353-4,Task 36994
203.3,20.954144522956057,Order353-8,Task 36998
211.3,0.02149186960287741,Order353-6,Task 36996
214.3,16.653932167924896,Order353-7,Task 36997
215.3,11.426777929988015,Order353-1,Task 36991
220.3,7.543965219650566,Order353-5,Task 36995
223.3,11.044367870692156,Order345-4,Task 37004
223.3,19.105163904248663,Order345-8,Task 37008
224.3,4.3691782501164145,Order345-3,Task 37003
226.3,26.680014727741835,Order354-1,Task 37011
226.3,4.586771438875205,Order345-1,Task 37001
228.3,17.864775105070514,Order345-10,Task 37010
231.3,13.552131161059803,Order345-6,Task 37006
231.3,8.208201817419209,Order354-7,Task 37017
234.3,11.015747819875687,Order345-9,Task 37009
235.3,6.9424041832205745,Order345-7,Task 37007
236.3,15.316109497676507,Order345-2,Task 37002
238.3,11.183836583047423,Order354-6,Task 37016
242.3,16.41568103211276,Order354-5,Task 37015
247.3,9.366399791663133,Order354-9,Task 37019
249.3,8.04014510508925,Order354-10,Task 37020
251.3,11.369580094386386,Order354-4,Task 37014
252.3,7.0903831489125055,Order354-2,Task 37012
258.3,10.084286129854092,Order354-3,Task 37013
261.3,10.99779555962072,Order354-8,Task 37018
261.3,8.115864746469994,Order351-2,Task 37022
263.3,25.88523327483921,Order351-10,Task 37030
268.3,7.758888985196181,Order351-6,Task 37026
277.3,13.22537411500884,Order351-9,Task 37029
278.3,8.34052376346992,Order351-7,Task 37027
282.3,15.026736470530633,Order351-4,Task 37024
288.3,7.208596629089668,Order351-5,Task 37025
289.3,9.759552168569368,Order351-3,Task 37023
289.3,16.541168166313,Order351-8,Task 37028
291.3,7.207588075976773,Order345-1,Task 37031
297.3,14.672679590229743,Order345-5,Task 37035
298.3,7.456468223771098,Order345-9,Task 37039
302.3,17.032378230522035,Order345-2,Task 37032
303.3,7.483650312392166,Order345-3,Task 37033
306.3,17.03962792100586,Order345-6,Task 37036
306.3,16.652081304668563,Order345-8,Task 37038
308.3,7.980295846547069,Order345-4,Task 37034
310.3,9.110642621255897,Order354-1,Task 37041
310.3,7.574326403362187,Order345-7,Task 37037
313.3,21.135624676630975,Order354-3,Task 37043
314.3,15.44144818216666,Order354-8,Task 37048
315.3,8.056813813286515,Order354-2,Task 37042
316.3,15.420637878446007,Order354-6,Task 37046
317.3,10.181811668661918,Order350-1,Task 37051
318.3,17.197672883694764,Order345-10,Task 37040
318.3,14.477306815865333,Order354-9,Task 37049
326.3,13.748389081048408,Order350-4,Task 37054
327.3,24.416209553619726,Order354-7,Task 37047
329.3,4.254328510184403,Order354-10,Task 37050
331.3,5.998533339181975,Order350-8,Task 37058
332.3,14.411163634243808,Order345-10,Task 37224
336.3,15.61593051880119,Order350-7,Task 37057
336.3,2.8550031920909644,Order354-4,Task 37044
338.3,7.664109341723375,Order350-5,Task 37055
341.3,7.171369388124327,Order350-6,Task 37056
343.3,20.633761951038288,Order354-5,Task 37045
343.3,7.16194355489036,Order350-2,Task 37052
345.3,20.317217646260293,Order350-9,Task 37059
347.3,14.883356581823758,Order351-4,Task 37063
350.3,15.621926707048633,Order351-1,Task 37060
352.3,7.457504273860293,Order351-7,Task 37066
352.3,7.900929133060075,Order350-3,Task 37053
355.3,15.707793380750774,Order351-3,Task 37062
360.3,15.149477088454416,Order351-9,Task 37068
361.3,7.524811424556296,Order351-5,Task 37064
363.3,20.3800221228091,Order351-8,Task 37067
367.3,8.198027639125433,Order351-2,Task 37061
369.3,7.667493917400484,Order351-6,Task 37065
370.3,8.494976398263791,Order348-1,Task 37070
371.3,7.761905948789023,Order348-3,Task 37072
371.3,9.25674111671691,Order348-7,Task 37076
374.3,7.371493426366081,Order348-8,Task 37077
382.3,17.428153721493903,Order348-5,Task 37074
382.3,11.581173452518486,Order348-4,Task 37073
388.3,22.646340578713467,Order348-9,Task 37078
393.3,7.538022272726898,Order348-2,Task 37071
394.3,9.577066101419005,Order348-10,Task 37079
396.3,16.70963595774555,Order348-6,Task 37075
397.3,14.593353394954207,Order345-4,Task 37083
398.3,4.043091171991342,Order345-3,Task 37082
401.3,3.608175781614434,Order345-8,Task 37087
404.3,18.195525270369593,Order345-6,Task 37085
404.3,2.034073918731552,Order345-2,Task 37081
405.3,6.9840311425664305,Order345-7,Task 37086
407.3,-0.38935914515354764,Order345-1,Task 37080
408.3,28.014701052001122,Order350-7,Task 37106
413.3,18.45048809440745,Order345-10,Task 37089
414.3,7.717249223933746,Order350-2,Task 37101
415.3,20.04773404963873,Order345-5,Task 37084
416.3,7.678863602279973,Order345-9,Task 37088
417.3,14.385993572378961,Order349-10,Task 37099
418.3,8.753752247003536,Order350-8,Task 37107
421.3,13.57284267998996,Order350-1,Task 37100
422.3,16.42008249740527,Order349-7,Task 37096
425.3,7.939685870042911,Order350-3,Task 37102
425.3,20.618658634748133,Order349-9,Task 37098
428.3,7.7828422731921965,Order349-4,Task 37093
431.3,8.008094739144344,Order349-3,Task 37092
432.3,11.17147547188867,Order350-9,Task 37108
435.3,15.162089413112607,Order349-1,Task 37090
439.3,18.168999655807067,Order349-8,Task 37097
443.3,14.142584108586089,Order349-2,Task 37091
443.3,7.616782100013977,Order350-6,Task 37105
450.3,13.795469587943272,Order349-5,Task 37094
450.3,7.844147693852899,Order350-5,Task 37104
453.3,18.200836727236155,Order350-4,Task 37103
454.3,8.060888332703644,Order349-4,Task 37112
457.3,7.56901885088867,Order349-3,Task 37111
460.3,17.92544640865262,Order349-6,Task 37095
464.3,23.0578020223378,Order349-8,Task 37116
467.3,19.19594625035802,Order349-5,Task 37113
469.3,18.350493638472024,Order349-10,Task 37118
470.3,18.1587203678407,Order352-6,Task 37124
470.3,21.04569541970899,Order349-2,Task 37110
471.3,22.56887944472624,Order349-7,Task 37115
473.3,22.956066797618398,Order352-5,Task 37123
473.3,18.305579278105874,Order349-1,Task 37109
474.3,19.283738461138245,Order349-9,Task 37117
475.3,17.00508970015719,Order352-6,Task 37133
477.3,18.805476061390266,Order352-8,Task 37126
478.3,17.407136815734884,Order352-1,Task 37119
478.3,13.205305552174393,Order349-6,Task 37114
478.3,16.02270298899779,Order349-2,Task 37138
479.3,7.521866275128133,Order352-9,Task 37127
482.3,7.6798907801071215,Order352-2,Task 37120
483.3,7.839573077287033,Order352-4,Task 37122
484.3,7.495296609461887,Order352-3,Task 37121
484.3,19.502602087409628,Order354-5,Task 37375
491.3,7.01078144278074,Order352-7,Task 37125
497.3,7.500420475831619,Order352-7,Task 37134
503.3,8.345050305991258,Order352-3,Task 37130
505.3,22.941148341436097,Order349-6,Task 37142
505.3,8.75290869533261,Order352-2,Task 37129
506.3,14.641854506905704,Order349-4,Task 37140
507.3,17.095358831833487,Order352-5,Task 37132
508.3,7.527896368311502,Order352-9,Task 37136
509.3,16.280128184862605,Order352-8,Task 37135
510.3,6.443074750827233,Order352-4,Task 37131
510.3,21.04967831143079,Order354-1,Task 37147
512.3,4.726560681895377,Order349-7,Task 37143
512.3,16.48043032203975,Order352-1,Task 37128
513.3,25.865808146538665,Order354-6,Task 37152
513.3,21.68513023382763,Order354-3,Task 37149
515.3,7.900421707428563,Order349-9,Task 37145
515.3,16.084349453355642,Order349-3,Task 37139
516.3,3.1228278370907976,Order349-8,Task 37144
516.3,15.59187255419511,Order349-5,Task 37141
519.3,8.899139820736355,Order349-10,Task 37146
520.3,9.993369102610675,Order354-10,Task 37156
521.3,19.68760696492953,Order349-1,Task 37137
522.3,17.022997969526873,Order354-2,Task 37148
525.3,15.838812120886814,Order354-7,Task 37153
533.3,5.710079468253807,Order354-4,Task 37150
537.3,16.546714557346984,Order350-7,Task 37163
537.3,16.3052257013599,Order354-9,Task 37155
539.3,1.6974416233826055,Order350-2,Task 37158
543.3,16.377821354238502,Order350-1,Task 37157
548.3,14.911597470603109,Order354-8,Task 37154
554.3,11.92518522081638,Order354-5,Task 37151
555.3,12.034169334017324,Order350-9,Task 37165
558.3,7.919235663342837,Order350-6,Task 37162
561.3,9.845250647202366,Order350-8,Task 37164
561.3,19.795236083122646,Order350-5,Task 37161
564.3,14.298226817972571,Order350-3,Task 37159
565.3,-2.0537040046231896,Order349-2,Task 37167
566.3,4.1700407456558946,Order349-5,Task 37170
567.3,18.517682010912097,Order349-4,Task 37169
568.3,4.494579544470685,Order349-3,Task 37168
568.3,7.046307280657371,Order350-4,Task 37160
572.3,6.2177970309027355,Order349-10,Task 37175
573.3,4.431860909713677,Order349-7,Task 37172
573.3,3.2289418850265736,Order349-1,Task 37166
575.3,13.138934487260222,Order349-6,Task 37171
577.3,12.188367601933354,Order350-8,Task 37183
577.3,4.537624426474286,Order349-9,Task 37174
578.3,12.60953599444737,Order350-1,Task 37176
578.3,-0.7198993509489142,Order349-8,Task 37173
581.3,12.963442986716144,Order350-5,Task 37180
581.3,13.47809698257808,Order350-7,Task 37182
582.3,10.983427730492387,Order350-2,Task 37177
582.3,19.0266051596565,Order350-9,Task 37184
583.3,12.922480165109267,Order351-1,Task 37195
585.3,20.906491814965268,Order354-5,Task 37454
586.3,3.637019074980148,Order350-3,Task 37178
587.3,7.159708521540083,Order350-4,Task 37179
